"nodeID_from","nodeID_to","mode","line","year"
1,2,"default","2299-line-1",0
2,3,"default","2299-line-1",0
3,4,"default","2299-line-1",0
4,5,"default","2299-line-1",0
5,6,"default","2299-line-1",0
6,7,"default","2299-line-1",0
7,8,"default","2299-line-1",0
9,10,"default","2300-line-2",0
10,11,"default","2300-line-2",0
11,12,"default","2300-line-2",0
12,13,"default","2300-line-2",0
13,14,"default","2300-line-2",0
14,15,"default","2300-line-2",0
15,16,"default","2300-line-2",0
16,17,"default","2300-line-2",0
17,18,"default","2300-line-2",0
18,19,"default","2300-line-2",0
19,20,"default","2300-line-2",0
20,21,"default","2300-line-2",0
21,22,"default","2300-line-2",0
22,23,"default","2300-line-2",0
23,24,"default","2300-line-2",0
24,25,"default","2300-line-2",0
25,26,"default","2300-line-2",0
27,28,"default","2301-line-3",0
30,31,"default","2301-line-3",0
31,32,"default","2301-line-3",0
32,33,"default","2301-line-3",0
33,34,"default","2301-line-3",0
34,61,"default","2301-line-3",0
38,61,"default","2301-line-3",0
36,37,"default","2302-line-4",0
37,39,"default","2302-line-4",0
39,40,"default","2302-line-4",0
40,41,"default","2302-line-4",0
17,42,"default","2302-line-4",0
42,43,"default","2302-line-4",0
43,44,"default","2302-line-4",0
44,45,"default","2302-line-4",0
45,46,"default","2302-line-4",0
47,48,"default","2303-line-5",0
48,49,"default","2303-line-5",0
49,50,"default","2303-line-5",0
50,51,"default","2303-line-5",0
55,56,"default","4109-ungu",0
56,57,"default","4109-ungu",0
60,61,"default","4109-ungu",0
28,29,"default","2301-line-3",0
58,59,"default","4109-ungu",0
29,40,"default","2301-line-3",0
57,58,"default","4109-ungu",0
62,63,"default","4110-jambon",0
29,63,"default","4110-jambon",0
8,64,"default","2299-line-1",0
64,65,"default","2299-line-1",0
