"nodeID_from","nodeID_to","mode","line","year"
264,340,"heavy_rail","3088-line-8",2024
301,354,"heavy_rail","3090-line-10",2025
6,354,"heavy_rail","3090-line-10",
1,2,"heavy_rail","3080-line-1",2018
22,33,"heavy_rail","3080-line-1",2018
34,35,"heavy_rail","3080-line-1",2018
22,34,"heavy_rail","3080-line-1",2015
2,16,"heavy_rail","3080-line-1",2010
16,17,"heavy_rail","3080-line-1",2010
17,320,"heavy_rail","3080-line-1",2010
22,320,"heavy_rail","3080-line-1",2015
40,43,"heavy_rail","3081-line-2",2013
43,47,"heavy_rail","3081-line-2",2012
47,62,"heavy_rail","3081-line-2",2012
62,68,"heavy_rail","3081-line-2",2014
40,184,"heavy_rail","3081-line-2",2013
69,78,"heavy_rail","3082-line-3",2018
78,94,"heavy_rail","3082-line-3",2016
94,102,"heavy_rail","3082-line-3",2018
106,112,"heavy_rail","3083-line-4",2017
112,114,"heavy_rail","3083-line-4",2017
114,129,"heavy_rail","3083-line-4",2015
129,135,"heavy_rail","3083-line-4",2017
136,231,"heavy_rail","3085-line-5",2019
176,232,"heavy_rail","3086-line-6",2020
264,288,"heavy_rail","3088-line-8",2020
301,306,"heavy_rail","3090-line-10",2017
306,316,"heavy_rail","3090-line-10",2019
289,367,"heavy_rail","3089-line-9",2020
298,336,"heavy_rail","3091-line-17",2020
298,366,"heavy_rail","3091-line-17",2025
403,421,"heavy_rail","3094-line-13",2025
159,162,"brt","3096-shenxianshu-corridor",2018
2,76,"brt","3097-fengshan-corridor",2018
233,248,"heavy_rail","3093-line-18",
333,336,"heavy_rail","3091-line-17",2020
333,336,"heavy_rail","3092-line-19",2023
326,329,"heavy_rail","3093-line-18",2020
248,326,"heavy_rail","3093-line-18",2020
326,336,"heavy_rail","3092-line-19",2023
326,329,"heavy_rail","3092-line-19",2023
368,390,"heavy_rail","5396-line-27",2024
288,395,"heavy_rail","3088-line-8",2024
325,397,"inter_city_rail","5429-line-s3",2024
306,444,"heavy_rail","5430-line-30",2025
