"nodeID_from","nodeID_to","mode","line","year"
1,15,"heavy_rail","3600-line-1",2015
15,16,"heavy_rail","3600-line-1",2016
4,16,"heavy_rail","3600-line-1",2017
24,29,"heavy_rail","3601-line-2",2015
24,27,"heavy_rail","3601-line-2",2017
42,43,"heavy_rail","3601-line-2",2018
29,42,"heavy_rail","3601-line-2",2015
45,91,"heavy_rail","3602-line-3",2002
44,91,"heavy_rail","3602-line-3",2002
7,47,"heavy_rail","3602-line-3",2002
1,47,"heavy_rail","3602-line-3",2002
1,99,"heavy_rail","3602-line-3",2002
49,51,"heavy_rail","3602-line-3",2002
51,53,"heavy_rail","3602-line-3",2002
53,54,"heavy_rail","3602-line-3",2002
55,56,"heavy_rail","3602-line-3",2002
53,58,"heavy_rail","3602-line-3",2008
58,60,"heavy_rail","3602-line-3",2008
60,61,"heavy_rail","3602-line-3",2008
62,63,"heavy_rail","3602-line-3",2008
61,63,"heavy_rail","3602-line-3",2008
62,64,"heavy_rail","3604-line-13",2021
64,65,"heavy_rail","3604-line-13",2021
68,72,"heavy_rail","3604-line-13",2021
4,75,"heavy_rail","3603-line-12",2017
83,100,"heavy_rail","4450-line-5",2023
14,26,"tram","4452-route-201",1909
4,14,"tram","4453-route-202",1909
