"nodeID_from","nodeID_to","mode","line","year"
1,26,"heavy_rail","3098-line-1",2012
26,28,"heavy_rail","3098-line-1",2015
28,33,"heavy_rail","3098-line-1",2020
21,210,"heavy_rail","3098-line-1",2012
58,66,"heavy_rail","3100-line-2",2017
34,46,"heavy_rail","3100-line-2",2014
67,84,"heavy_rail","3101-line-4",2015
123,124,"heavy_rail","3102-line-5",
107,120,"heavy_rail","3102-line-5",2019
106,292,"heavy_rail","3102-line-5",2020
106,107,"heavy_rail","3102-line-5",2020
120,123,"heavy_rail","3102-line-5",2020
136,160,"heavy_rail","3103-line-6",2020
125,136,"heavy_rail","3103-line-6",2020
150,157,"heavy_rail","3103-line-6",2021
136,150,"heavy_rail","3103-line-6",2020
179,184,"heavy_rail","3105-line-7",2021
161,179,"heavy_rail","3105-line-7",2020
185,193,"heavy_rail","3106-line-8",2021
21,194,"heavy_rail","3099-line-9",2021
210,214,"heavy_rail","3099-line-9",2021
21,210,"heavy_rail","3099-line-9",2021
215,226,"heavy_rail","3108-line-16",2020
227,240,"heavy_rail","3109-line-3",2022
46,57,"heavy_rail","3100-line-2",2017
57,58,"heavy_rail","3100-line-2",2017
67,291,"heavy_rail","3101-line-4",2022
231,242,"heavy_rail","3114-airport-express",
334,345,"heavy_rail","3113-hanghai-line",2021
85,301,"heavy_rail","3111-line-1",2021
301,319,"heavy_rail","3111-line-1",2022
55,264,"heavy_rail","3110-line-10",
55,276,"heavy_rail","3110-line-10",2022
231,233,"heavy_rail","3109-line-3",
233,263,"heavy_rail","3109-line-3",2022
348,349,"heavy_rail","3112-line-2",2023
348,350,"heavy_rail","3112-line-2",2023
347,350,"heavy_rail","3112-line-2",2023
347,351,"heavy_rail","3112-line-2",2023
351,352,"heavy_rail","3112-line-2",2023
352,353,"heavy_rail","3112-line-2",2023
353,355,"heavy_rail","3112-line-2",2023
