"nodeID_from","nodeID_to","mode","line","year"
1,6,"heavy_rail","3676-line-6",2012
2,59,"heavy_rail","3676-line-6",2020
3,59,"heavy_rail","3676-line-6",2020
17,18,"heavy_rail","3672-line-1",2016
18,25,"heavy_rail","3672-line-1",2013
18,77,"heavy_rail","3672-line-1",2013
19,77,"heavy_rail","3672-line-1",2013
29,30,"heavy_rail","3672-line-1",2013
20,35,"heavy_rail","3672-line-1",2014
3,22,"heavy_rail","3673-line-2",2014
23,31,"heavy_rail","3672-line-1",2013
30,31,"heavy_rail","3672-line-1",2013
28,29,"heavy_rail","3672-line-1",2013
19,28,"heavy_rail","3672-line-1",2013
24,25,"heavy_rail","3672-line-1",2013
32,35,"heavy_rail","3672-line-1",2014
23,32,"heavy_rail","3672-line-1",2014
3,55,"heavy_rail","3673-line-2",2014
41,45,"heavy_rail","3674-line-3",2017
46,61,"heavy_rail","3674-line-3",2017
41,46,"heavy_rail","3674-line-3",2017
55,57,"heavy_rail","3673-line-2",2014
59,61,"heavy_rail","3674-line-3",2017
58,59,"heavy_rail","3674-line-3",2017
9,93,"heavy_rail","3675-line-4",2020
97,115,"heavy_rail","4130-line-5",2022
