"nodeID_from","nodeID_to","mode","line","year"
10,11,"heavy_rail","3548-line-8",2020
26,40,"heavy_rail","3545-line-1",2021
40,41,"heavy_rail","3545-line-1",2021
53,70,"heavy_rail","3546-line-2",2017
53,72,"heavy_rail","3546-line-2",2019
79,85,"heavy_rail","3547-line-3",2016
8,79,"heavy_rail","3547-line-3",2015
96,97,"heavy_rail","3550-line-13",2018
107,113,"heavy_rail","3550-line-13",2018
97,107,"heavy_rail","3550-line-13",2018
63,150,"heavy_rail","3549-line-11",2018
132,150,"heavy_rail","3549-line-11",2018
130,132,"heavy_rail","3549-line-11",2018
128,129,"heavy_rail","3549-line-11",2018
118,122,"heavy_rail","3549-line-11",2018
138,159,"heavy_rail","4418-line-4",2022
72,163,"heavy_rail","3546-line-2",2024
8,170,"heavy_rail","3548-line-8",
3,181,"heavy_rail","3548-line-8",
96,190,"heavy_rail","3550-line-13",2023
182,202,"heavy_rail","5858-line-6",2024
182,212,"heavy_rail","5858-line-6",
23,164,"heavy_rail","5891-line-7",
23,26,"heavy_rail","3545-line-1",2020
23,214,"heavy_rail","3545-line-1",2020
214,224,"heavy_rail","5891-line-7",
70,233,"heavy_rail","3546-line-2",
58,257,"heavy_rail","5892-line-5",
262,270,"heavy_rail","5893-line-9",
226,278,"heavy_rail","5894-line-15",
