"nodeID_from","nodeID_to","mode","line","year"
28,31,"heavy_rail","3117-line-1",2017
1,28,"heavy_rail","3117-line-1",2010
3,10,"heavy_rail","3117-line-1",2004
1,3,"heavy_rail","3117-line-1",2004
18,19,"heavy_rail","3117-line-1",2014
17,18,"heavy_rail","3117-line-1",2014
10,16,"heavy_rail","3117-line-1",2010
16,17,"heavy_rail","3117-line-1",2014
33,39,"heavy_rail","3118-line-2",2016
60,69,"heavy_rail","3118-line-2",2019
39,40,"heavy_rail","3118-line-2",2016
40,60,"heavy_rail","3118-line-2",2012
70,84,"heavy_rail","3120-line-4",2013
84,97,"heavy_rail","3120-line-4",2014
97,106,"heavy_rail","3120-line-4",2019
107,130,"heavy_rail","3119-line-3",2015
163,179,"heavy_rail","3121-line-5",2021
129,157,"heavy_rail","3122-line-6",2016
157,162,"heavy_rail","3122-line-6",2021
155,203,"heavy_rail","3123-line-7",2018
239,241,"heavy_rail","3124-line-8",2019
227,239,"heavy_rail","3124-line-8",2021
216,227,"heavy_rail","3124-line-8",2017
109,272,"default","3157-yangluo-line",2017
255,264,"default","3160-line-11",2022
243,255,"default","3160-line-11",2018
242,243,"default","3160-line-11",2021
187,194,"heavy_rail","3123-line-7",2018
194,203,"heavy_rail","3123-line-7",2018
163,250,"default","3158-line-19",2023
281,303,"tram","3171-autocity-t1",2017
61,69,"light_rail","3172-optics-valley-tram-l1",2018
250,255,"brt","3174-xiongchu-avenue-brt",
84,255,"brt","3174-xiongchu-avenue-brt",2016
