"nodeID_from","nodeID_to","mode","line","year"
26,33,"heavy_rail","3566-line-1",2017
14,26,"heavy_rail","3566-line-1",2013
14,35,"heavy_rail","3566-line-1",2017
35,36,"heavy_rail","3566-line-1",2019
42,50,"heavy_rail","3567-line-2",2016
42,44,"heavy_rail","3567-line-2",2019
53,136,"heavy_rail","3570-line-5",2019
50,56,"heavy_rail","3567-line-2",2016
56,59,"heavy_rail","3567-line-2",2016
83,136,"heavy_rail","3570-line-5",2019
59,63,"heavy_rail","3567-line-2",2016
64,83,"heavy_rail","3570-line-5",2019
64,72,"heavy_rail","3570-line-5",2019
67,84,"heavy_rail","3570-line-5",2019
67,72,"heavy_rail","3570-line-5",2019
53,84,"heavy_rail","3570-line-5",2019
72,118,"heavy_rail","3568-line-3",2020
72,73,"heavy_rail","3568-line-3",2021
40,99,"heavy_rail","3569-line-4",2020
99,104,"heavy_rail","3569-line-4",2020
107,108,"heavy_rail","3568-line-3",2020
40,95,"heavy_rail","3569-line-4",2020
114,115,"heavy_rail","3568-line-3",2020
115,118,"heavy_rail","3568-line-3",2020
8,119,"heavy_rail","3568-line-3",2020
8,108,"heavy_rail","3568-line-3",2020
114,119,"heavy_rail","3568-line-3",2020
63,122,"heavy_rail","3572-chengjiao-line",2017
122,123,"heavy_rail","3572-chengjiao-line",2017
123,128,"heavy_rail","3572-chengjiao-line",2017
129,131,"heavy_rail","3572-chengjiao-line",2017
131,216,"heavy_rail","3572-chengjiao-line",2017
135,216,"heavy_rail","3572-chengjiao-line",2017
135,153,"heavy_rail","3572-chengjiao-line",2022
3,5,"heavy_rail","3571-line-14",2023
1,3,"heavy_rail","3571-line-14",2019
1,6,"heavy_rail","3571-line-14",
90,154,"heavy_rail","4422-line-6",2024
47,90,"heavy_rail","4422-line-6",
73,180,"heavy_rail","3568-line-3",2023
182,193,"heavy_rail","5495-line-10",2023
193,203,"heavy_rail","5495-line-10",
204,211,"heavy_rail","5496-line-12",2023
213,238,"heavy_rail","5497-zhengxu-line",2023
260,282,"heavy_rail","5499-line-8",2024
239,257,"heavy_rail","5498-line-7",2024
239,240,"heavy_rail","5498-line-7",
