"nodeID_from","nodeID_to","mode","line","year"
4,5,"heavy_rail","3638-blue-line",2019
5,11,"heavy_rail","3638-blue-line",2019
1,4,"heavy_rail","3638-blue-line",2018
13,14,"heavy_rail","3638-blue-line",2016
1,14,"heavy_rail","3638-blue-line",2018
17,18,"heavy_rail","3638-blue-line",2016
13,18,"heavy_rail","3638-blue-line",2016
37,38,"heavy_rail","3639-green-line",2015
38,39,"heavy_rail","3639-green-line",2015
39,40,"heavy_rail","3639-green-line",2015
40,41,"heavy_rail","3639-green-line",2015
41,42,"heavy_rail","3639-green-line",2017
20,44,"heavy_rail","3639-green-line",2017
43,44,"heavy_rail","3639-green-line",2017
42,43,"heavy_rail","3639-green-line",2017
45,46,"heavy_rail","3639-green-line",2017
20,45,"heavy_rail","3639-green-line",2017
46,47,"heavy_rail","3639-green-line",2017
47,48,"heavy_rail","3639-green-line",2018
9,48,"heavy_rail","3639-green-line",2018
19,35,"heavy_rail","3639-green-line",2016
19,37,"heavy_rail","3639-green-line",2015
22,27,"heavy_rail","3638-blue-line",2021
11,27,"heavy_rail","3638-blue-line",2021
49,50,"commuter_rail","6122-mrts",
