"nodeID_from","nodeID_to","mode","line","year"
4,5,"heavy_rail","3634-red-line",2018
4,15,"heavy_rail","3634-red-line",2018
4,13,"heavy_rail","3636-green-line",2020
14,15,"heavy_rail","3634-red-line",2018
14,16,"heavy_rail","3634-red-line",2018
16,18,"heavy_rail","3634-red-line",2018
18,19,"heavy_rail","3634-red-line",2018
19,20,"heavy_rail","3634-red-line",2018
6,22,"heavy_rail","3634-red-line",2018
23,24,"heavy_rail","3634-red-line",2018
22,24,"heavy_rail","3634-red-line",2018
25,31,"heavy_rail","3634-red-line",2018
23,25,"heavy_rail","3634-red-line",2018
27,31,"heavy_rail","3634-red-line",2017
28,37,"heavy_rail","3635-blue-line",2019
31,38,"heavy_rail","3635-blue-line",2017
38,39,"heavy_rail","3635-blue-line",2017
40,41,"heavy_rail","3635-blue-line",2017
39,41,"heavy_rail","3635-blue-line",2017
40,42,"heavy_rail","3635-blue-line",2017
42,43,"heavy_rail","3635-blue-line",2017
43,44,"heavy_rail","3635-blue-line",2017
44,45,"heavy_rail","3635-blue-line",2017
45,46,"heavy_rail","3635-blue-line",2017
47,48,"heavy_rail","3635-blue-line",2017
46,48,"heavy_rail","3635-blue-line",2017
47,49,"heavy_rail","3635-blue-line",2017
49,50,"heavy_rail","3635-blue-line",2017
51,52,"heavy_rail","3634-red-line",2017
27,52,"heavy_rail","3634-red-line",2017
51,53,"heavy_rail","3634-red-line",2017
54,56,"heavy_rail","3634-red-line",2017
55,56,"heavy_rail","3634-red-line",2017
57,59,"heavy_rail","3634-red-line",2017
55,59,"heavy_rail","3634-red-line",2017
57,58,"heavy_rail","3634-red-line",2017
4,9,"heavy_rail","3636-green-line",2020
26,31,"heavy_rail","3635-blue-line",2017
26,28,"heavy_rail","3635-blue-line",2019
5,6,"heavy_rail","3634-red-line",2018
53,54,"heavy_rail","3634-red-line",2017
