"nodeID_from","nodeID_to","mode","line","year"
45,52,"heavy_rail","3631-red-line",2008
39,45,"heavy_rail","3631-red-line",2008
31,32,"heavy_rail","3631-red-line",2012
3,64,"heavy_rail","3632-orange-line",2008
10,15,"light_rail","3633-green-line",2016
10,13,"light_rail","3633-green-line",2016
15,17,"light_rail","3633-green-line",2016
17,20,"light_rail","3633-green-line",2016
20,25,"light_rail","3633-green-line",2021
7,13,"light_rail","3633-green-line",2016
6,7,"light_rail","3633-green-line",2021
6,14,"light_rail","3633-green-line",2021
14,69,"light_rail","3633-green-line",2021
67,69,"light_rail","3633-green-line",2022
65,66,"light_rail","3633-green-line",2022
66,67,"light_rail","3633-green-line",2022
