"nodeID_from","nodeID_to","mode","line","year"
53,61,"heavy_rail","3500-green-line",2011
7,61,"heavy_rail","3500-green-line",2011
3,9,"heavy_rail","3499-red-line",2009
3,7,"heavy_rail","3499-red-line",2009
20,29,"heavy_rail","3499-red-line",2011
31,36,"heavy_rail","3499-red-line",2021
31,35,"heavy_rail","3499-red-line",2021
30,35,"heavy_rail","3499-red-line",2021
7,12,"heavy_rail","3499-red-line",2009
12,23,"heavy_rail","3499-red-line",2010
73,75,"heavy_rail","3500-green-line",2014
7,73,"heavy_rail","3500-green-line",2011
12,36,"heavy_rail","3499-red-line",2021
40,41,"tram","3502-al-sufouh-tram",2014
44,45,"tram","3502-al-sufouh-tram",2014
38,39,"tram","3502-al-sufouh-tram",2014
39,40,"tram","3502-al-sufouh-tram",2014
37,41,"tram","3502-al-sufouh-tram",2014
37,42,"tram","3502-al-sufouh-tram",2014
42,43,"tram","3502-al-sufouh-tram",2014
43,44,"tram","3502-al-sufouh-tram",2014
46,47,"tram","3502-al-sufouh-tram",2014
39,46,"tram","3502-al-sufouh-tram",2014
38,47,"tram","3502-al-sufouh-tram",2014
48,52,"heavy_rail","3503-palm-monorail",2009
