"nodeID_from","nodeID_to","mode","line","year"
6,19,"heavy_rail","3607-1---maskowskaya-(маскоўская)",1984
6,7,"heavy_rail","3607-1---maskowskaya-(маскоўская)",1986
7,9,"heavy_rail","3607-1---maskowskaya-(маскоўская)",2007
19,24,"heavy_rail","3607-1---maskowskaya-(маскоўская)",1984
17,20,"heavy_rail","3608-2---awtazavodskaya-(аўтазаводская)",1990
10,13,"heavy_rail","3608-2---awtazavodskaya-(аўтазаводская)",2005
13,20,"heavy_rail","3608-2---awtazavodskaya-(аўтазаводская)",1995
17,21,"heavy_rail","3608-2---awtazavodskaya-(аўтазаводская)",1997
21,22,"heavy_rail","3608-2---awtazavodskaya-(аўтазаводская)",2001
24,25,"heavy_rail","3607-1---maskowskaya-(маскоўская)",1984
20,27,"heavy_rail","3609-3---zelenaluzhskaya-(зеленалужская)",2020
29,30,"heavy_rail","3607-1---maskowskaya-(маскоўская)",2012
25,29,"heavy_rail","3607-1---maskowskaya-(маскоўская)",1984
30,32,"heavy_rail","3607-1---maskowskaya-(маскоўская)",2012
32,33,"heavy_rail","3607-1---maskowskaya-(маскоўская)",2014
27,36,"heavy_rail","3609-3---zelenaluzhskaya-(зеленалужская)",2024
