"nodeID_from","nodeID_to","mode","line","year"
17,22,"heavy_rail","3586-line-1",2013
18,22,"heavy_rail","3586-line-1",2019
37,38,"heavy_rail","3592-line-9",2020
30,38,"heavy_rail","3592-line-9",2020
40,46,"heavy_rail","3587-line-2",2011
40,58,"heavy_rail","3587-line-2",2014
60,84,"heavy_rail","3589-line-4",2018
60,85,"heavy_rail","3589-line-4",2018
96,108,"heavy_rail","3588-line-3",2016
96,102,"heavy_rail","3588-line-3",2016
121,148,"heavy_rail","3591-line-6",2020
85,155,"heavy_rail","3593-line-14",2021
85,157,"heavy_rail","3593-line-14",2019
157,158,"heavy_rail","3593-line-14",2019
158,159,"heavy_rail","3593-line-14",2019
160,163,"heavy_rail","3593-line-14",2019
159,163,"heavy_rail","3593-line-14",2019
160,164,"heavy_rail","3593-line-14",2019
111,129,"heavy_rail","3590-line-5",2020
121,196,"heavy_rail","3591-line-6",2022
46,200,"heavy_rail","3587-line-2",2023
58,198,"heavy_rail","3587-line-2",2023
18,207,"heavy_rail","3586-line-1",2023
210,216,"heavy_rail","5462-line-16",2023
165,182,"people_mover","5466-line-1",2024
148,209,"heavy_rail","3591-line-6",2024
218,219,"heavy_rail","3590-line-5",
111,218,"heavy_rail","3590-line-5",2024
238,263,"heavy_rail","5464-line-10",2024
268,274,"heavy_rail","5465-line-15",2025
