"nodeID_from","nodeID_to","mode","line","year"
69,71,"heavy_rail","3594-line-1",2016
71,72,"heavy_rail","3594-line-1",2016
72,195,"heavy_rail","3594-line-1",2014
15,195,"heavy_rail","3594-line-1",2014
9,97,"heavy_rail","3595-line-2",2015
80,82,"heavy_rail","3595-line-2",2020
79,80,"heavy_rail","3595-line-2",2020
9,82,"heavy_rail","3595-line-2",2015
26,30,"heavy_rail","3596-line-3",2019
125,150,"heavy_rail","3597-line-4",2020
102,150,"heavy_rail","3597-line-4",2020
41,62,"heavy_rail","3598-line-5",2021
102,103,"heavy_rail","3597-line-4",2020
125,126,"heavy_rail","3597-line-4",2025
103,127,"heavy_rail","3597-line-4",2025
79,129,"heavy_rail","3595-line-2",2022
62,131,"heavy_rail","3598-line-5",2024
131,134,"heavy_rail","3598-line-5",2024
35,37,"heavy_rail","3596-line-3",2020
36,37,"heavy_rail","3596-line-3",2019
26,36,"heavy_rail","3596-line-3",2019
179,201,"heavy_rail","5990-line-6",2026
154,178,"heavy_rail","5991-line-7",2025
137,153,"heavy_rail","5992-line-8",2025
137,138,"heavy_rail","5992-line-8",
