"nodeID_from","nodeID_to","mode","line","year"
19,23,"heavy_rail","4077-line-1",2016
41,42,"heavy_rail","4078-line-2",2017
65,66,"heavy_rail","4079-line-3",2019
79,103,"heavy_rail","4080-line-4",2021
124,126,"heavy_rail","4081-line-5",2020
124,137,"heavy_rail","4081-line-5",2022
19,140,"heavy_rail","4077-line-1",2023
42,151,"heavy_rail","4078-line-2",2023
158,159,"heavy_rail","4079-line-3",
66,158,"heavy_rail","4079-line-3",2023
166,167,"heavy_rail","4080-line-4",
160,166,"heavy_rail","4080-line-4",2024
56,169,"heavy_rail","5596-line-8",2024
192,204,"heavy_rail","5595-line-7",
106,191,"heavy_rail","5594-line-6",
