"nodeID_from","nodeID_to","mode","line","year"
263,266,"heavy_rail","5529-line-7",
114,263,"heavy_rail","5529-line-7",2024
115,121,"heavy_rail","4085-line-4",2017
115,121,"heavy_rail","5529-line-7",2024
114,115,"heavy_rail","5529-line-7",2024
4,24,"heavy_rail","4082-line-1",2012
26,230,"heavy_rail","4083-line-2",2013
44,230,"heavy_rail","4083-line-2",2013
45,46,"heavy_rail","4083-line-2",2013
44,45,"heavy_rail","4083-line-2",2013
46,48,"heavy_rail","4083-line-2",2016
26,59,"heavy_rail","4083-line-2",2016
71,92,"heavy_rail","4084-line-3",2019
114,134,"heavy_rail","4085-line-4",2017
113,114,"heavy_rail","4085-line-4",2017
106,113,"heavy_rail","4085-line-4",2017
103,106,"heavy_rail","4085-line-4",2017
99,103,"heavy_rail","4085-line-4",2017
114,115,"heavy_rail","4085-line-4",2017
155,168,"heavy_rail","4086-line-5",2021
71,155,"heavy_rail","4086-line-5",2021
71,195,"heavy_rail","5531-line-11",2023
59,196,"heavy_rail","5528-line-6",
59,223,"heavy_rail","5528-line-6",2024
89,244,"heavy_rail","5530-line-8",2024
48,274,"heavy_rail","4083-line-2",
99,270,"heavy_rail","4085-line-4",
266,278,"heavy_rail","5529-line-7",
310,314,"tram","5532-line-1",2018
300,310,"tram","5532-line-1",2014
326,328,"tram","5533-line-2",2018
325,327,"tram","5533-line-2",2018
315,330,"tram","5533-line-2",2023
