"nodeID_from","nodeID_to","mode","line","year"
1,29,"heavy_rail","4868-metropolitana",1999
5,29,"heavy_rail","4868-metropolitana",1999
7,29,"heavy_rail","4868-metropolitana",2016
1,11,"heavy_rail","4868-metropolitana",2017
11,13,"heavy_rail","4868-metropolitana",2024
7,17,"heavy_rail","4868-metropolitana",
13,14,"heavy_rail","4868-metropolitana",
19,27,"heavy_rail","4869-circumetnea",1895
19,30,"heavy_rail","4869-circumetnea",1895
29,30,"heavy_rail","4869-circumetnea",1895
28,29,"heavy_rail","4869-circumetnea",1898
14,18,"heavy_rail","4868-metropolitana",
27,31,"heavy_rail","4869-circumetnea",1895
31,33,"heavy_rail","4869-circumetnea",1895
35,37,"heavy_rail","4869-circumetnea",1895
35,37,"heavy_rail","4869-circumetnea",2011
33,37,"heavy_rail","4869-circumetnea",2015
31,33,"heavy_rail","4869-circumetnea",2010
33,37,"heavy_rail","4869-circumetnea",1895
18,45,"heavy_rail","4868-metropolitana",2028
17,50,"heavy_rail","4868-metropolitana",
35,52,"heavy_rail","4869-circumetnea",1895
