"nodeID_from","nodeID_to","mode","line","year"
1,11,"heavy_rail","5284-line-1",2024
1,11,"heavy_rail","5285-line-2",2025
11,13,"heavy_rail","5284-line-1",2024
11,18,"heavy_rail","5285-line-2",2025
19,23,"commuter_rail","6848-line-1",2007
19,23,"commuter_rail","6849-line-2",2007
23,24,"commuter_rail","6848-line-1",2007
23,44,"commuter_rail","6849-line-2",2008
37,44,"commuter_rail","6849-line-2",2010
21,22,"commuter_rail","6848-line-1",2007
21,22,"commuter_rail","6849-line-2",2007
21,22,"commuter_rail","6850-line-3",2007
19,21,"commuter_rail","6848-line-1",2007
19,21,"commuter_rail","6849-line-2",2007
21,57,"commuter_rail","6850-line-3",2007
57,81,"commuter_rail","6850-line-3",2020
82,83,"tram","6881-γραμμή-1",1893
82,83,"tram","6883-γραμμή-3",1924
83,99,"tram","6881-γραμμή-1",1893
99,100,"tram","6881-γραμμή-1",1894
99,100,"tram","6883-γραμμή-3",1924
83,92,"tram","6882-γραμμή-2",1895
92,96,"tram","6882-γραμμή-2",1895
92,96,"tram","6883-γραμμή-3",1924
96,100,"tram","6882-γραμμή-2",1895
83,92,"tram","6883-γραμμή-3",1924
96,99,"tram","6883-γραμμή-3",1924
82,83,"tram","6882-γραμμή-2",1895
