"nodeID_from","nodeID_to","mode","line","year"
6,7,"heavy_rail","4432-green-line",1968
1,9,"heavy_rail","4429-red-line",1970
9,10,"heavy_rail","4429-red-line",1972
3,13,"heavy_rail","4430-green-line",1976
3,5,"heavy_rail","4429-red-line",1967
1,3,"heavy_rail","4429-red-line",1967
1,3,"heavy_rail","4430-green-line",1967
1,9,"heavy_rail","4430-green-line",1970
9,10,"heavy_rail","4430-green-line",1972
13,14,"heavy_rail","4430-green-line",1985
10,18,"heavy_rail","4429-red-line",1989
10,18,"heavy_rail","4430-green-line",1989
18,19,"heavy_rail","4429-red-line",2002
18,19,"heavy_rail","4430-green-line",2002
21,22,"heavy_rail","4430-green-line",2009
14,21,"heavy_rail","4430-green-line",2008
22,23,"heavy_rail","4430-green-line",2011
24,25,"heavy_rail","4431-purple-line",2016
24,26,"heavy_rail","4431-purple-line",2021
25,27,"heavy_rail","4431-purple-line",2022
26,28,"heavy_rail","4431-purple-line",2024
7,31,"heavy_rail","4432-green-line",
