"nodeID_from","nodeID_to","mode","line","year"
26,33,"bus","5726-341",2015
26,33,"bus","5727-342",2015
26,33,"bus","5728-348",2015
35,43,"bus","5726-341",2015
35,43,"bus","5727-342",2015
35,43,"bus","5728-348",2015
31,35,"bus","5726-341",2015
31,35,"bus","5727-342",2015
31,35,"bus","5728-348",2015
2,68,"commuter_rail","5662-pkm-3",2018
2,68,"commuter_rail","5663-pkm-4",2018
68,69,"commuter_rail","5661-pkm-2",2018
2,68,"commuter_rail","5661-pkm-2",2018
17,80,"commuter_rail","5661-pkm-2",2018
80,83,"commuter_rail","5661-pkm-2",2019
83,85,"commuter_rail","5661-pkm-2",2020
84,85,"commuter_rail","5661-pkm-2",2020
2,17,"commuter_rail","5661-pkm-2",2018
2,17,"commuter_rail","5662-pkm-3",2018
17,88,"commuter_rail","5660-pkm-1",2020
2,17,"commuter_rail","5660-pkm-1",2020
57,62,"commuter_rail","5663-pkm-4",2018
62,68,"commuter_rail","5663-pkm-4",2018
2,25,"commuter_rail","5664-pkm-5",2020
25,98,"commuter_rail","5664-pkm-5",2020
25,121,"commuter_rail","5663-pkm-4",2023
2,25,"commuter_rail","5663-pkm-4",2023
113,115,"commuter_rail","5660-pkm-1",2021
2,68,"commuter_rail","5660-pkm-1",2021
1,17,"commuter_rail","5662-pkm-3",2018
21,24,"bus","5693-121",2019
25,68,"tram","5694-2",1971
2,112,"tram","6056-3",2022
2,112,"tram","6057-11",2022
2,112,"tram","6058-10",2022
2,112,"tram","6061-19",2022
2,112,"tram","6060-7",2022
2,112,"tram","6062-9",2022
