"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","4733-light-rail",2021
1,3,"light_rail","4733-light-rail",2021
3,5,"light_rail","4733-light-rail",2021
5,7,"light_rail","4733-light-rail",2021
7,8,"light_rail","4733-light-rail",2021
8,10,"light_rail","4733-light-rail",2021
10,11,"light_rail","4733-light-rail",2021
11,12,"light_rail","4733-light-rail",2021
12,13,"light_rail","4733-light-rail",2021
13,14,"light_rail","4733-light-rail",2021
14,15,"light_rail","4733-light-rail",2021
15,19,"light_rail","4733-light-rail",2021
19,20,"light_rail","4733-light-rail",2021
20,22,"light_rail","4733-light-rail",2021
22,23,"light_rail","4733-light-rail",2021
23,24,"light_rail","4733-light-rail",2021
24,27,"light_rail","4733-light-rail",2021
25,27,"light_rail","4733-light-rail",2021
25,32,"light_rail","4733-light-rail",2021
24,30,"light_rail","4733-light-rail",2021
29,30,"light_rail","4733-light-rail",2021
29,37,"light_rail","4733-light-rail",2021
37,39,"light_rail","4733-light-rail",2021
38,39,"light_rail","4733-light-rail",2021
38,39,"light_rail","4733-light-rail",2021
39,43,"light_rail","4733-light-rail",2021
38,41,"light_rail","4733-light-rail",2021
41,44,"light_rail","4733-light-rail",2021
44,45,"light_rail","4733-light-rail",2021
45,46,"light_rail","4733-light-rail",2021
46,47,"light_rail","4733-light-rail",2023
47,48,"light_rail","4733-light-rail",2023
48,50,"light_rail","4733-light-rail",2023
50,51,"light_rail","4733-light-rail",2023
54,56,"light_rail","4733-light-rail",2025
56,59,"light_rail","4733-light-rail",2025
