"nodeID_from","nodeID_to","mode","line","year"
20,51,"heavy_rail","43-linea-2",1986
20,21,"heavy_rail","43-linea-2",1987
6,142,"tram","1222-ffcc-santiago-san-bernardo",1908
105,156,"tram","1220-ffcc-santiago-oeste",1929
159,161,"tram","73-ffcc-yungay---barranas",1903
127,135,"heavy_rail","45-linea-4",2005
20,103,"heavy_rail","46-linea-5",2004
8,89,"heavy_rail","42-linea-1-",1977
6,69,"heavy_rail","43-linea-2",2004
6,75,"heavy_rail","43-linea-2",2023
64,98,"heavy_rail","46-linea-5",1997
41,89,"heavy_rail","42-linea-1-",1975
23,24,"heavy_rail","43-linea-2",2006
20,98,"heavy_rail","46-linea-5",2000
159,160,"tram","73-ffcc-yungay---barranas",1911
156,159,"tram","73-ffcc-yungay---barranas",1903
76,79,"heavy_rail","59-linea-3",2022
10,13,"heavy_rail","42-linea-1-",2010
21,22,"heavy_rail","43-linea-2",2004
146,154,"tram","72-ffcc-llanos-del-maipo",1895
103,108,"heavy_rail","46-linea-5",2010
22,23,"heavy_rail","43-linea-2",2005
90,97,"heavy_rail","59-linea-3",2019
64,149,"heavy_rail","46-linea-5",2005
51,100,"heavy_rail","43-linea-2",1978
71,122,"heavy_rail","45-linea-4",2005
153,154,"tram","72-ffcc-llanos-del-maipo",1895
5,6,"heavy_rail","40-linea-4a",2006
39,181,"heavy_rail","60-linea-6",2017
8,13,"heavy_rail","42-linea-1-",1980
108,115,"heavy_rail","46-linea-5",2011
136,162,"inter_city_rail","200-ffcc-santiago---valparaiso",1863
170,188,"heavy_rail","453-linea-7",2028
92,203,"brt","1279-av.-grecia",1995
220,414,"brt","1280-santa-rosa",2008
240,260,"brt","1280-santa-rosa",2009
221,231,"brt","1284-pajaritos",2005
264,279,"brt","1285-las-rejas",2014
63,127,"brt","1281-vicuna-mackenna",2016
149,395,"brt","1281-vicuna-mackenna",2016
235,301,"brt","1282-departamental",2013
131,133,"brt","1281-vicuna-mackenna",2008
190,232,"brt","1284-pajaritos",2010
63,265,"brt","1281-vicuna-mackenna",2017
62,395,"brt","1281-vicuna-mackenna",2017
127,131,"brt","1281-vicuna-mackenna",2008
316,321,"brt","1286-anillo-intermedio",2008
322,326,"brt","1286-anillo-intermedio",2009
326,330,"brt","1286-anillo-intermedio",2015
233,284,"brt","1282-departamental",2009
280,284,"brt","1282-departamental",2013
122,203,"brt","1279-av.-grecia",2009
122,304,"brt","1279-av.-grecia",2008
304,315,"brt","1279-av.-grecia",2008
382,393,"brt","1283-las-industrias",2009
233,362,"brt","1288-pedro-aguirre-cerda",2008
362,374,"brt","1288-pedro-aguirre-cerda",2009
374,375,"brt","1287-camino-a-rinconada",2018
375,381,"brt","1287-camino-a-rinconada",2018
264,277,"brt","1285-las-rejas",2007
181,182,"heavy_rail","60-linea-6",2028
79,90,"heavy_rail","59-linea-3",2019
162,166,"commuter_rail","2482-metrotren-batuco",2026
