"nodeID_from","nodeID_to","mode","line","year"
13,112,"commuter_rail","731-east-rail-line",2007
96,97,"commuter_rail","737-airport-express",2005
98,99,"heavy_rail","736-disneyland-resort-line",2005
105,119,"inter_city_rail","2394-east-rail-line",1916
105,119,"inter_city_rail","2394-east-rail-line",1910
119,148,"inter_city_rail","2394-east-rail-line",1910
113,116,"commuter_rail","2403-sha-tau-kok",1912
77,80,"heavy_rail","739-ma-on-shan-line",2020
18,26,"heavy_rail","733-kwun-tong-line",1979
34,100,"heavy_rail","732-tsuen-wan-line",1979
17,18,"heavy_rail","733-kwun-tong-line",1979
15,17,"heavy_rail","733-kwun-tong-line",1982
100,132,"heavy_rail","732-tsuen-wan-line",1980
34,42,"heavy_rail","732-tsuen-wan-line",1982
59,212,"heavy_rail","733-kwun-tong-line",2001
26,27,"heavy_rail","733-kwun-tong-line",1989
27,59,"heavy_rail","733-kwun-tong-line",1989
27,29,"heavy_rail","733-kwun-tong-line",2002
62,65,"heavy_rail","734-tseung-kwan-o-line",2009
60,212,"heavy_rail","734-tseung-kwan-o-line",2002
60,64,"heavy_rail","734-tseung-kwan-o-line",2002
12,15,"heavy_rail","733-kwun-tong-line",2016
50,186,"heavy_rail","730-island-line",1985
176,186,"heavy_rail","730-island-line",1986
47,176,"heavy_rail","730-island-line",2014
92,145,"heavy_rail","740-south-island-line",2016
56,94,"commuter_rail","737-airport-express",1998
56,94,"commuter_rail","735-tung-chung-line",1998
93,94,"commuter_rail","737-airport-express",1998
93,94,"commuter_rail","735-tung-chung-line",1998
111,142,"commuter_rail","731-east-rail-line",2022
66,77,"heavy_rail","739-ma-on-shan-line",2021
151,157,"tram","2376-peak-trams",1888
159,230,"tram","2375-hong-kong-tramways",1904
198,239,"tram","2375-hong-kong-tramways",1922
211,212,"tram","2375-hong-kong-tramways",1904
242,243,"people_mover","2433-hong-kong-international-airport-automated-people-mover",1998
241,242,"people_mover","2433-hong-kong-international-airport-automated-people-mover",2007
240,241,"people_mover","2433-hong-kong-international-airport-automated-people-mover",2010
243,244,"people_mover","2433-hong-kong-international-airport-automated-people-mover",2016
245,246,"ferry","2434-central---tsim-sha-tsui",2006
247,248,"ferry","2435-wan-chai---tsim-sha-tsui",2014
80,88,"heavy_rail","739-ma-on-shan-line",2020
54,76,"commuter_rail","738-west-rail-line",2007
54,67,"commuter_rail","738-west-rail-line",2009
66,67,"commuter_rail","731-east-rail-line",2007
111,148,"inter_city_rail","2394-east-rail-line",1975
6,148,"inter_city_rail","2394-east-rail-line",1910
4,5,"inter_city_rail","2394-east-rail-line",1978
80,88,"heavy_rail","2404-ma-on-shan",2004
80,88,"heavy_rail","2405-ma-on-shan",2007
54,76,"heavy_rail","739-ma-on-shan-line",2021
54,76,"commuter_rail","2431-west-rail",2003
54,67,"heavy_rail","739-ma-on-shan-line",2021
66,67,"commuter_rail","738-west-rail-line",2009
66,67,"heavy_rail","739-ma-on-shan-line",2021
66,67,"inter_city_rail","2394-east-rail-line",2004
66,108,"commuter_rail","731-east-rail-line",2007
66,108,"commuter_rail","738-west-rail-line",2009
66,108,"inter_city_rail","2394-east-rail-line",2004
111,148,"commuter_rail","731-east-rail-line",2007
6,148,"commuter_rail","731-east-rail-line",2007
4,5,"commuter_rail","731-east-rail-line",2007
