"nodeID_from","nodeID_to","mode","line","year"
1,6,"light_rail","1792-line-a",2019
22,57,"commuter_rail","2054-cikarang-line",2011
57,60,"commuter_rail","2055-central-line",2021
58,557,"commuter_rail","2054-cikarang-line",2011
21,123,"commuter_rail","2054-cikarang-line",2017
80,123,"commuter_rail","2054-cikarang-line",2011
62,63,"commuter_rail","2054-cikarang-line",
62,63,"commuter_rail","2053-loop-line",
63,64,"commuter_rail","2054-cikarang-line",
63,64,"commuter_rail","2053-loop-line",
64,65,"commuter_rail","2054-cikarang-line",
64,65,"commuter_rail","2053-loop-line",
65,66,"commuter_rail","2054-cikarang-line",
65,66,"commuter_rail","2053-loop-line",
66,371,"commuter_rail","2054-cikarang-line",
66,371,"commuter_rail","2053-loop-line",
372,568,"commuter_rail","2054-cikarang-line",2011
80,564,"brt","1783-tj-koridor-5",2007
95,564,"brt","1783-tj-koridor-5",2007
95,96,"brt","1783-tj-koridor-5",2007
211,414,"commuter_rail","2056-rangkas-bitung-line",2011
109,370,"commuter_rail","2057-tangerang-line",2011
110,370,"heavy_rail","2059-route-1",2018
111,211,"commuter_rail","2056-rangkas-bitung-line",2011
60,408,"commuter_rail","2055-central-line",2011
408,557,"commuter_rail","2055-central-line",2011
58,80,"commuter_rail","2054-cikarang-line",2011
111,112,"commuter_rail","2056-rangkas-bitung-line",2011
112,113,"commuter_rail","2056-rangkas-bitung-line",2011
113,114,"commuter_rail","2056-rangkas-bitung-line",2011
32,117,"heavy_rail","2052-m1-phase-1",2019
141,142,"brt","1782-tj-koridor-4",
124,486,"people_mover","2063-line-1",2017
142,391,"brt","1782-tj-koridor-4",2007
295,573,"brt","1782-tj-koridor-4",
134,294,"brt","1782-tj-koridor-4",
134,294,"brt","1782-tj-koridor-4",
135,573,"brt","1782-tj-koridor-4",
134,135,"brt","1782-tj-koridor-4",
135,573,"brt","1782-tj-koridor-4",
82,295,"brt","1782-tj-koridor-4",
294,575,"brt","1782-tj-koridor-4",
140,294,"brt","1782-tj-koridor-4",
138,140,"brt","1782-tj-koridor-4",
138,575,"brt","1782-tj-koridor-4",
141,142,"brt","1782-tj-koridor-4",
121,142,"brt","1782-tj-koridor-4",2007
121,142,"brt","1784-tj-koridor-6",2007
121,142,"brt","1782-tj-koridor-4",2019
121,142,"brt","1784-tj-koridor-6",2019
121,248,"brt","1782-tj-koridor-4",2007
121,248,"brt","1782-tj-koridor-4",2019
128,391,"brt","1782-tj-koridor-4",
240,556,"commuter_rail","2055-central-line",
240,556,"commuter_rail","2053-loop-line",
240,407,"commuter_rail","2055-central-line",
240,407,"commuter_rail","2053-loop-line",
240,407,"commuter_rail","2055-central-line",
240,407,"commuter_rail","2053-loop-line",
241,577,"commuter_rail","2055-central-line",
241,577,"commuter_rail","2053-loop-line",
309,577,"commuter_rail","2055-central-line",
309,577,"commuter_rail","2053-loop-line",
141,554,"commuter_rail","2055-central-line",
141,554,"commuter_rail","2053-loop-line",
154,155,"commuter_rail","2055-central-line",
154,155,"commuter_rail","2053-loop-line",
128,174,"brt","1780-tj-koridor-2",2006
174,180,"brt","1780-tj-koridor-2",2006
174,186,"brt","1780-tj-koridor-2",2006
187,194,"brt","1781-tj-koridor-3",2006
194,500,"brt","1786-tj-koridor-8",2009
218,219,"brt","1787-tj-koridor-9",2010
219,220,"brt","1787-tj-koridor-9",2010
220,224,"brt","1787-tj-koridor-9",2010
221,223,"brt","1785-tj-koridor-7",2007
221,226,"heavy_rail","2060-line-1",2023
227,279,"brt","1785-tj-koridor-7",2007
227,228,"brt","1785-tj-koridor-7",2007
228,229,"brt","1785-tj-koridor-7",2007
223,229,"brt","1785-tj-koridor-7",2007
221,230,"brt","1785-tj-koridor-7",2007
230,231,"brt","1785-tj-koridor-7",2007
231,232,"brt","1785-tj-koridor-7",2007
232,233,"brt","1785-tj-koridor-7",2007
233,234,"brt","1785-tj-koridor-7",2007
234,235,"brt","1785-tj-koridor-7",2007
235,236,"brt","1785-tj-koridor-7",2007
236,237,"brt","1785-tj-koridor-7",2007
60,158,"commuter_rail","2053-loop-line",2011
58,408,"heavy_rail","2059-route-1",2018
296,297,"commuter_rail","2054-cikarang-line",2011
235,237,"brt","1785-tj-koridor-7",2007
224,238,"brt","1787-tj-koridor-9",2010
144,238,"brt","1787-tj-koridor-9",2010
144,239,"brt","1787-tj-koridor-9",2010
239,240,"brt","1787-tj-koridor-9",2010
240,241,"brt","1787-tj-koridor-9",2010
241,242,"brt","1787-tj-koridor-9",2010
242,243,"brt","1787-tj-koridor-9",2010
243,245,"brt","1787-tj-koridor-9",2010
245,246,"brt","1787-tj-koridor-9",2010
246,247,"brt","1787-tj-koridor-9",2010
247,249,"brt","1787-tj-koridor-9",2010
249,250,"brt","1787-tj-koridor-9",2010
250,251,"brt","1787-tj-koridor-9",2010
251,252,"brt","1787-tj-koridor-9",2010
252,253,"brt","1787-tj-koridor-9",2010
198,253,"brt","1787-tj-koridor-9",2010
198,254,"brt","1787-tj-koridor-9",2010
254,255,"brt","1787-tj-koridor-9",2010
255,256,"brt","1787-tj-koridor-9",2010
256,257,"brt","1787-tj-koridor-9",2010
257,258,"brt","1787-tj-koridor-9",2010
258,260,"brt","1787-tj-koridor-9",2010
258,260,"brt","1787-tj-koridor-9",2010
259,262,"brt","1790-tj-koridor-12",2015
262,263,"brt","1790-tj-koridor-12",2013
263,264,"brt","1790-tj-koridor-12",2013
264,265,"brt","1790-tj-koridor-12",2013
265,266,"brt","1790-tj-koridor-12",2013
267,398,"brt","1790-tj-koridor-12",2013
266,268,"brt","1790-tj-koridor-12",2013
268,398,"brt","1790-tj-koridor-12",2013
268,269,"brt","1790-tj-koridor-12",2013
94,269,"brt","1790-tj-koridor-12",2013
267,270,"brt","1790-tj-koridor-12",2013
259,270,"brt","1790-tj-koridor-12",2013
259,262,"brt","1790-tj-koridor-12",2013
92,94,"brt","1790-tj-koridor-12",2013
92,271,"brt","1790-tj-koridor-12",2013
271,273,"brt","1790-tj-koridor-12",2013
272,273,"brt","1790-tj-koridor-12",2013
272,274,"brt","1790-tj-koridor-12",2013
274,275,"brt","1790-tj-koridor-12",2013
275,276,"brt","1790-tj-koridor-12",2013
1,278,"light_rail","2067-line-a-(phase-2)-(planned)",2100
271,564,"brt","1790-tj-koridor-12",2013
276,280,"brt","1790-tj-koridor-12",2013
276,277,"brt","1790-tj-koridor-12",2019
275,277,"brt","1790-tj-koridor-12",2013
275,276,"brt","1790-tj-koridor-12",2013
280,281,"brt","1790-tj-koridor-12",2013
281,283,"brt","1790-tj-koridor-12",2013
283,285,"brt","1790-tj-koridor-12",2013
285,287,"brt","1790-tj-koridor-12",2013
287,288,"brt","1788-tj-koridor-10",2010
284,288,"brt","1788-tj-koridor-10",2010
282,284,"brt","1788-tj-koridor-10",2010
282,289,"brt","1788-tj-koridor-10",2010
277,289,"brt","1788-tj-koridor-10",2010
277,290,"brt","1788-tj-koridor-10",2010
168,290,"brt","1788-tj-koridor-10",2010
168,291,"brt","1788-tj-koridor-10",2010
291,292,"brt","1788-tj-koridor-10",2010
292,293,"brt","1788-tj-koridor-10",2010
137,293,"brt","1788-tj-koridor-10",2010
137,294,"brt","1788-tj-koridor-10",2010
294,295,"brt","1788-tj-koridor-10",2010
295,296,"brt","1788-tj-koridor-10",2010
296,298,"brt","1788-tj-koridor-10",2010
298,299,"brt","1788-tj-koridor-10",2010
299,300,"brt","1788-tj-koridor-10",2010
222,300,"brt","1788-tj-koridor-10",2010
222,301,"brt","1788-tj-koridor-10",2010
301,302,"brt","1788-tj-koridor-10",2010
302,303,"brt","1788-tj-koridor-10",2010
231,303,"brt","1788-tj-koridor-10",2010
121,319,"brt","1784-tj-koridor-6",2007
142,304,"brt","1784-tj-koridor-6",2007
121,221,"heavy_rail","2060-line-1",2023
226,327,"heavy_rail","2060-line-1",2023
221,320,"heavy_rail","2061-line-2",2023
329,333,"brt","1789-tj-koridor-11",2011
333,334,"brt","1789-tj-koridor-11",2011
114,330,"commuter_rail","2056-rangkas-bitung-line",2011
330,331,"commuter_rail","2056-rangkas-bitung-line",2011
329,332,"brt","1789-tj-koridor-11",2011
334,335,"brt","1789-tj-koridor-11",2011
335,336,"brt","1789-tj-koridor-11",2011
336,337,"brt","1789-tj-koridor-11",2011
337,338,"brt","1789-tj-koridor-11",2011
338,339,"brt","1789-tj-koridor-11",2011
339,340,"brt","1789-tj-koridor-11",2011
340,341,"brt","1789-tj-koridor-11",2011
341,342,"brt","1789-tj-koridor-11",2011
297,342,"brt","1789-tj-koridor-11",2011
297,343,"brt","1789-tj-koridor-11",2011
343,344,"brt","1789-tj-koridor-11",2011
343,345,"brt","1789-tj-koridor-11",2011
220,230,"brt","1787-tj-koridor-9",2011
344,345,"brt","1789-tj-koridor-11",2011
346,357,"brt","1791-tj-koridor-13",2017
357,358,"brt","1791-tj-koridor-13",2018
357,359,"brt","1791-tj-koridor-13",2017
357,359,"brt","1791-tj-koridor-13",2018
331,360,"commuter_rail","2056-rangkas-bitung-line",2011
360,361,"commuter_rail","2056-rangkas-bitung-line",2011
361,362,"commuter_rail","2056-rangkas-bitung-line",2013
362,363,"commuter_rail","2056-rangkas-bitung-line",2013
363,364,"commuter_rail","2056-rangkas-bitung-line",2013
364,365,"commuter_rail","2056-rangkas-bitung-line",2013
366,367,"commuter_rail","2056-rangkas-bitung-line",2017
367,368,"commuter_rail","2056-rangkas-bitung-line",2017
365,369,"commuter_rail","2056-rangkas-bitung-line",2013
366,369,"commuter_rail","2056-rangkas-bitung-line",2013
32,406,"heavy_rail","2052-m1-phase-1",2027
401,406,"heavy_rail","2052-m1-phase-1",2029
415,434,"heavy_rail","2070-m2-phase-3",2034
392,413,"high_speed_rail","2071-line-1",2024
60,408,"commuter_rail","2053-loop-line",2011
58,80,"commuter_rail","2054-cikarang-line",2021
69,372,"commuter_rail","2058-tanjung-priok-line",2015
349,569,"brt","1779-tj-koridor-1",2004
180,200,"brt","1781-tj-koridor-3",2006
180,200,"brt","1780-tj-koridor-2",2006
28,194,"brt","1781-tj-koridor-3",2006
98,370,"heavy_rail","2059-route-1",2018
98,370,"commuter_rail","2057-tangerang-line",2011
28,194,"brt","1786-tj-koridor-8",2009
57,557,"commuter_rail","2055-central-line",2011
58,80,"heavy_rail","2059-route-1",2018
80,123,"heavy_rail","2059-route-1",2018
407,557,"heavy_rail","2059-route-1",2019
408,557,"heavy_rail","2059-route-1",2018
70,98,"heavy_rail","2059-route-1",2018
395,569,"tram","3404-btm-line",1869
395,569,"tram","3409-nitm-line",1883
404,569,"tram","3404-btm-line",1869
404,569,"tram","3409-nitm-line",1883
404,406,"tram","3404-btm-line",1869
404,406,"tram","3409-nitm-line",1883
406,410,"tram","3404-btm-line",1869
406,410,"tram","3405-betm-line",1899
406,562,"tram","3404-btm-line",1869
406,562,"tram","3409-nitm-line",1883
77,87,"tram","3404-btm-line",1869
77,87,"tram","3409-nitm-line",1883
87,562,"tram","3404-btm-line",1869
87,562,"tram","3409-nitm-line",1883
56,410,"tram","3405-betm-line",1899
155,161,"commuter_rail","2064-nambo-line",2015
60,158,"commuter_rail","2055-central-line",2011
22,57,"commuter_rail","2055-central-line",2011
70,557,"commuter_rail","2053-loop-line",2011
57,557,"commuter_rail","2054-cikarang-line",2011
408,557,"commuter_rail","2053-loop-line",2011
155,161,"commuter_rail","4107-bogor-line",2022
60,158,"commuter_rail","4107-bogor-line",2022
22,57,"commuter_rail","4107-bogor-line",2022
57,60,"commuter_rail","4107-bogor-line",2022
297,568,"commuter_rail","2054-cikarang-line",2011
297,568,"commuter_rail","2053-loop-line",2011
297,568,"commuter_rail","4108-cikarang-loop-line",2022
70,568,"commuter_rail","2053-loop-line",2011
70,568,"commuter_rail","4108-cikarang-loop-line",2022
70,557,"commuter_rail","4108-cikarang-loop-line",2022
58,80,"commuter_rail","4108-cikarang-loop-line",2022
408,557,"commuter_rail","4108-cikarang-loop-line",2022
58,408,"commuter_rail","4108-cikarang-loop-line",2022
296,297,"commuter_rail","4108-cikarang-loop-line",2022
70,557,"heavy_rail","2059-route-1",2018
21,123,"commuter_rail","4108-cikarang-loop-line",2022
80,123,"commuter_rail","4108-cikarang-loop-line",2022
401,569,"heavy_rail","2052-m1-phase-1",2029
116,436,"heavy_rail","3268-line-3",2030
436,437,"heavy_rail","3268-line-3",2030
437,438,"heavy_rail","3268-line-3",2030
438,440,"heavy_rail","3268-line-3",2030
440,441,"heavy_rail","3268-line-3",2030
235,441,"heavy_rail","3268-line-3",2030
235,237,"heavy_rail","3268-line-3",2030
237,444,"heavy_rail","3268-line-3",2030
252,434,"heavy_rail","2070-m2-phase-3",2028
252,445,"heavy_rail","2070-m2-phase-3",2028
445,446,"heavy_rail","2070-m2-phase-3",2028
446,447,"heavy_rail","2070-m2-phase-3",2028
447,448,"heavy_rail","2070-m2-phase-3",2028
448,449,"heavy_rail","2070-m2-phase-3",2028
