"nodeID_from","nodeID_to","mode","line","year"
2,3,"default","461-azul",2007
11,18,"default","462-vermelha",2009
4,9,"default","461-azul",1959
10,11,"default","462-vermelha",1998
3,4,"default","461-azul",1998
4,43,"default","461-azul",1963
13,15,"default","463-verde",1998
10,12,"default","462-vermelha",2012
21,24,"default","464-amarela",1995
15,19,"default","463-verde",1998
24,25,"default","464-amarela",2004
13,29,"default","463-verde",2002
9,31,"default","461-azul",1982
31,33,"default","461-azul",1997
43,47,"default","461-azul",1966
33,34,"default","461-azul",2004
21,39,"default","461-azul",1959
47,50,"default","461-azul",1972
21,22,"default","464-amarela",1997
