"nodeID_from","nodeID_to","mode","line","year"
92,389,"heavy_rail","204-hammersmith-&-city-line",1990
160,173,"heavy_rail","143-victoria",1969
259,261,"heavy_rail","162-piccadilly-line",1932
219,228,"light_rail","160-dlr",1994
83,160,"heavy_rail","143-victoria",1969
395,419,"heavy_rail","205-metropolitan-line",1885
294,835,"inter_city_rail","172-national-rail-(southern)",1860
628,630,"commuter_rail","202-national-rail-(kx-moorgate)",1871
367,408,"heavy_rail","116-central-line",1949
453,711,"inter_city_rail","144-south-west-trains",1845
441,572,"commuter_rail","171-national-rail-(southeastern)",1942
58,103,"inter_city_rail","144-south-west-trains",1869
239,705,"inter_city_rail","144-south-west-trains",1848
98,239,"inter_city_rail","144-south-west-trains",1848
101,102,"inter_city_rail","144-south-west-trains",1863
185,188,"commuter_rail","163-thameslink",1868
92,437,"commuter_rail","209-elizabeth-line",2018
62,67,"heavy_rail","146-jubilee-line",1999
53,73,"inter_city_rail","144-south-west-trains",1848
229,305,"inter_city_rail","172-national-rail-(southern)",1847
86,850,"heavy_rail","143-victoria",1968
252,254,"heavy_rail","162-piccadilly-line",1986
196,768,"heavy_rail","116-central-line",1920
63,594,"commuter_rail","3016-north-london-(stratford)",1846
206,207,"heavy_rail","116-central-line",1946
88,649,"heavy_rail","143-victoria",1968
40,62,"heavy_rail","146-jubilee-line",1999
71,72,"commuter_rail","151-overground-(south-london-line)",2012
2,110,"heavy_rail","115-norther-line",1926
478,771,"commuter_rail","3049-abbey",1858
368,370,"heavy_rail","116-central-line",1949
166,259,"heavy_rail","162-piccadilly-line",1932
34,40,"heavy_rail","139-district-line",1868
436,806,"commuter_rail","209-elizabeth-line",2019
183,806,"commuter_rail","164-national-rail-(gwr)",1838
371,372,"heavy_rail","204-hammersmith-&-city-line",1990
37,75,"heavy_rail","139-district-line",1877
254,274,"heavy_rail","162-piccadilly-line",1975
8,118,"heavy_rail","142-bakerloo",1906
42,46,"heavy_rail","139-district-line",1871
257,391,"heavy_rail","205-metropolitan-line",1879
275,305,"inter_city_rail","172-national-rail-(southern)",1847
217,218,"people_mover","167-emirates-airline",2012
22,23,"heavy_rail","139-district-line",1880
1,165,"heavy_rail","118-waterloo-&-city-line",1898
23,24,"heavy_rail","139-district-line",1880
261,262,"heavy_rail","162-piccadilly-line",1932
251,254,"heavy_rail","162-piccadilly-line",1977
285,660,"inter_city_rail","144-south-west-trains",1864
79,97,"inter_city_rail","144-south-west-trains",1846
25,35,"heavy_rail","139-district-line",1874
35,37,"heavy_rail","139-district-line",1874
81,82,"heavy_rail","139-district-line",1879
40,42,"heavy_rail","139-district-line",1870
18,22,"heavy_rail","139-district-line",1889
5,6,"heavy_rail","115-norther-line",1900
6,10,"heavy_rail","115-norther-line",1890
5,17,"heavy_rail","115-norther-line",1926
34,173,"heavy_rail","143-victoria",1969
255,257,"heavy_rail","142-bakerloo",1939
83,84,"heavy_rail","143-victoria",1968
84,850,"heavy_rail","143-victoria",1968
248,262,"heavy_rail","162-piccadilly-line",1933
255,257,"heavy_rail","146-jubilee-line",1979
251,253,"heavy_rail","162-piccadilly-line",2008
