"nodeID_from","nodeID_to","mode","line","year"
55,58,"default","586-rhone-express",2010
1,61,"default","579-1",2005
61,65,"default","579-1",2014
13,14,"default","575-a",2007
1,13,"default","575-a",1978
17,18,"default","588-croix-paquet",1891
15,16,"default","587-rue-terme",1862
30,33,"default","576-b",2000
21,22,"default","584-1",1878
35,36,"default","577-c",1974
25,27,"default","576-b",1978
40,50,"default","578-d",1997
35,37,"default","577-c",1978
27,30,"default","576-b",1981
48,54,"default","578-d",1992
23,24,"default","585-2",1900
19,20,"default","589-saint-paul---fourviere",1900
33,34,"default","576-b",2013
36,39,"default","577-c",1984
40,48,"default","578-d",1991
67,69,"default","758-22",0
40,67,"default","758-22",0
40,66,"default","758-22",0
68,69,"default","758-22",0
71,72,"default","758-22",0
75,78,"default","758-22",0
74,75,"default","758-22",0
68,71,"default","758-22",0
72,76,"default","758-22",0
79,80,"default","757-21",0
74,76,"default","758-22",0
77,78,"default","758-22",0
55,126,"default","582-4",0
96,97,"default","579-1",0
1,97,"default","579-1",0
54,115,"default","582-4",0
55,129,"default","582-4",0
91,129,"default","582-4",0
81,82,"default","757-21",0
97,135,"default","580-2",0
68,82,"default","757-21",0
88,89,"default","579-1",0
68,69,"default","757-21",0
89,91,"default","579-1",0
91,101,"default","579-1",0
27,96,"default","579-1",0
27,101,"default","579-1",0
125,127,"default","582-4",0
54,122,"default","582-4",0
115,118,"default","582-4",0
118,125,"default","582-4",0
126,127,"default","582-4",0
134,135,"default","580-2",0
48,141,"default","580-2",0
48,134,"default","580-2",0
141,144,"default","580-2",0
159,160,"default","583-5",0
144,160,"default","583-5",0
151,156,"default","580-2",0
144,156,"default","580-2",0
