"nodeID_from","nodeID_to","mode","line","year"
266,555,"commuter_rail","2681-c-3a",2018
304,305,"commuter_rail","2688-c-10",2011
171,304,"commuter_rail","2688-c-10",2017
171,179,"commuter_rail","2688-c-10",2017
308,312,"commuter_rail","2685-c-7",1996
171,304,"commuter_rail","2678-c-1",2011
171,304,"commuter_rail","2702-civis-guadalajara",2011
409,560,"commuter_rail","2680-c-3",2011
390,560,"commuter_rail","2680-c-3",2011
409,560,"commuter_rail","2681-c-3a",2018
390,560,"commuter_rail","2681-c-3a",2018
390,414,"commuter_rail","2680-c-3",2011
396,414,"commuter_rail","2681-c-3a",2018
384,396,"commuter_rail","2680-c-3",2011
384,396,"commuter_rail","2681-c-3a",2018
384,396,"commuter_rail","2685-c-7",1981
384,396,"commuter_rail","2686-c-8",1981
53,186,"heavy_rail","104-10",2002
35,48,"heavy_rail","97-3",1949
138,153,"heavy_rail","102-8",1982
202,280,"heavy_rail","95-1",2007
187,269,"heavy_rail","105-11",2010
2,453,"tram","4475-sol-chamberi",1878
2,453,"tram","4476-sol-c-caminos",1880
186,190,"heavy_rail","104-10",2003
191,195,"heavy_rail","103-9",1980
256,257,"heavy_rail","101-7",2008
210,269,"heavy_rail","105-11",2006
50,279,"heavy_rail","97-3",2007
184,318,"heavy_rail","104-10",2025
283,284,"heavy_rail","96-2",2011
22,283,"heavy_rail","96-2",2007
279,327,"heavy_rail","97-3",2025
64,199,"heavy_rail","95-1",1994
51,59,"heavy_rail","104-10",1961
115,119,"heavy_rail","100-6",1995
199,202,"heavy_rail","95-1",1999
208,210,"heavy_rail","105-11",1998
53,56,"heavy_rail","104-10",1961
86,89,"heavy_rail","99-5",2006
76,86,"heavy_rail","99-5",1980
14,110,"heavy_rail","100-6",1981
151,153,"heavy_rail","104-10",1998
51,59,"heavy_rail","99-5",1968
144,155,"heavy_rail","102-8",1986
56,151,"heavy_rail","104-10",1981
155,156,"heavy_rail","101-7",1998
195,376,"heavy_rail","103-9",1999
53,91,"heavy_rail","104-10",1961
1,8,"heavy_rail","95-1",1919
43,95,"heavy_rail","98-4",1973
156,158,"heavy_rail","101-7",1999
132,243,"heavy_rail","103-9",2011
53,91,"heavy_rail","99-5",2002
243,244,"heavy_rail","103-9",2015
95,98,"heavy_rail","98-4",1979
8,14,"heavy_rail","100-6",1979
180,245,"heavy_rail","104-10",2007
15,525,"heavy_rail","95-1",1923
1,525,"heavy_rail","95-1",1921
35,296,"heavy_rail","97-3",1936
22,296,"heavy_rail","96-2",1924
27,296,"heavy_rail","96-2",1925
110,115,"heavy_rail","100-6",1983
8,31,"heavy_rail","95-1",1929
98,171,"heavy_rail","98-4",1998
