"nodeID_from","nodeID_to","mode","line","year"
1,8,"light_rail","2111-line-1",1984
8,18,"light_rail","2111-line-1",1985
18,20,"light_rail","2111-line-1",2010
21,30,"light_rail","2113-line-3",1999
30,33,"light_rail","2113-line-3",2000
21,34,"light_rail","2113-line-3",2024
20,34,"light_rail","2111-line-1",2024
35,38,"heavy_rail","2112-line-2",2003
11,38,"heavy_rail","2112-line-2",2004
57,127,"heavy_rail","2114-line-7",2027
75,82,"commuter_rail","2116-metro-south-commuter",0
59,75,"commuter_rail","2116-metro-south-commuter",0
35,84,"heavy_rail","2112-line-2",2021
11,87,"heavy_rail","2112-line-2",9999
1,92,"light_rail","2111-line-1",2025
92,95,"light_rail","2111-line-1",2030
59,100,"commuter_rail","2115-metro-north-commuter",0
101,103,"heavy_rail","2117-line-9",2027
73,103,"heavy_rail","2117-line-9",2029
123,144,"ferry","2119-guadalupe---maybunga",2007
123,144,"ferry","2120-guadalupe---pinagbuhatan",2007
124,144,"ferry","2119-guadalupe---maybunga",2007
125,144,"ferry","2120-guadalupe---pinagbuhatan",2007
115,123,"ferry","2118-guadalupe---plaza-mexico-(intramuros)",2007
100,132,"commuter_rail","3826-north–south-commuter-railway",2028
130,145,"heavy_rail","3827-line-5-(makati-subwat)",
148,157,"heavy_rail","4236-line-4",2028
