"nodeID_from","nodeID_to","mode","line","year"
2,150,"heavy_rail","692-werribee-line",1861
3,5,"heavy_rail","687-cragieburn-line",1981
3,5,"heavy_rail","697-alamein-line",1981
3,5,"heavy_rail","691-south-morang-line",1981
3,5,"heavy_rail","700-cranbourne-line",1981
2,151,"light_rail","710-19",1935
2,151,"light_rail","714-57",1935
2,151,"light_rail","716-59",1935
5,26,"heavy_rail","697-alamein-line",1981
5,26,"heavy_rail","700-cranbourne-line",1981
25,152,"light_rail","715-58",1935
25,152,"light_rail","716-59",1935
6,153,"heavy_rail","687-cragieburn-line",1859
8,10,"heavy_rail","687-cragieburn-line",1859
11,16,"heavy_rail","692-werribee-line",1859
16,17,"heavy_rail","692-werribee-line",1859
17,18,"heavy_rail","692-werribee-line",1859
25,151,"light_rail","714-57",1935
151,152,"light_rail","716-59",1935
151,152,"light_rail","710-19",1935
76,152,"light_rail","710-19",1935
7,153,"heavy_rail","687-cragieburn-line",1860
1,3,"heavy_rail","697-alamein-line",1981
1,3,"heavy_rail","691-south-morang-line",1981
1,3,"heavy_rail","700-cranbourne-line",1981
1,2,"heavy_rail","687-cragieburn-line",1879
6,8,"heavy_rail","692-werribee-line",1857
6,8,"heavy_rail","687-cragieburn-line",1857
1,2,"heavy_rail","697-alamein-line",1879
1,2,"heavy_rail","691-south-morang-line",1879
1,2,"heavy_rail","692-werribee-line",1879
1,2,"heavy_rail","700-cranbourne-line",1879
13,150,"heavy_rail","692-werribee-line",1860
13,150,"heavy_rail","700-cranbourne-line",1860
12,13,"heavy_rail","692-werribee-line",1860
12,22,"heavy_rail","692-werribee-line",1879
12,22,"heavy_rail","700-cranbourne-line",1879
12,13,"heavy_rail","700-cranbourne-line",1860
12,13,"heavy_rail","699-sandringham-line",1860
14,23,"heavy_rail","697-alamein-line",1861
2,150,"heavy_rail","697-alamein-line",1861
2,150,"heavy_rail","687-cragieburn-line",1861
2,150,"heavy_rail","700-cranbourne-line",1861
2,150,"heavy_rail","699-sandringham-line",1861
2,150,"heavy_rail","691-south-morang-line",1861
13,14,"heavy_rail","697-alamein-line",1861
13,150,"heavy_rail","697-alamein-line",1860
13,150,"heavy_rail","699-sandringham-line",1860
76,77,"light_rail","710-19",1916
30,170,"heavy_rail","3321-deepdene-dasher",1900
177,186,"heavy_rail","691-south-morang-line",1888
186,193,"heavy_rail","691-south-morang-line",1902
95,187,"heavy_rail","3322-springvale-cemetery-line",1904
193,196,"heavy_rail","691-south-morang-line",1912
71,198,"heavy_rail","3324-inner-circle-line",1888
199,223,"heavy_rail","3324-inner-circle-line",1888
189,224,"heavy_rail","3323-mont-park-line",1910
200,211,"heavy_rail","3325-whittlesea-line",1889
209,211,"heavy_rail","691-south-morang-line",1964
208,209,"heavy_rail","691-south-morang-line",2012
178,211,"heavy_rail","691-south-morang-line",1889
58,167,"heavy_rail","3320-darling-to-oakleigh",1890
85,93,"heavy_rail","700-cranbourne-line",1879
85,90,"heavy_rail","692-werribee-line",1881
30,181,"heavy_rail","3316-fairfield-to-riversdale",1890
23,45,"heavy_rail","697-alamein-line",1882
22,85,"heavy_rail","700-cranbourne-line",1879
22,85,"heavy_rail","692-werribee-line",1879
86,90,"heavy_rail","692-werribee-line",1882
86,87,"heavy_rail","3314-stony-point-line",1889
93,98,"heavy_rail","700-cranbourne-line",1877
96,101,"heavy_rail","700-cranbourne-line",1886
18,127,"heavy_rail","692-werribee-line",1857
153,227,"heavy_rail","687-cragieburn-line",
8,11,"heavy_rail","692-werribee-line",1857
1,6,"heavy_rail","692-werribee-line",1859
3,6,"heavy_rail","687-cragieburn-line",1985
5,150,"heavy_rail","691-south-morang-line",1985
5,150,"heavy_rail","687-cragieburn-line",1985
150,177,"heavy_rail","691-south-morang-line",1901
5,26,"heavy_rail","691-south-morang-line",1983
8,12,"heavy_rail","700-cranbourne-line",2025
109,111,"heavy_rail","699-sandringham-line",1887
107,109,"heavy_rail","699-sandringham-line",1861
23,155,"heavy_rail","3315-kew-line",1887
