"nodeID_from","nodeID_to","mode","line","year"
356,359,"brt","80-linea-4-metrobus-",2012
365,367,"brt","80-linea-4-metrobus-",2012
11,110,"brt","77-linea-1-metrobus-",2005
381,398,"brt","81-linea-5-metrobus-",2013
399,435,"brt","82-linea-6-metrobus-",2016
424,432,"brt","82-linea-6-metrobus-",2016
436,463,"brt","165-linea-7-metrobus-",2017
415,467,"brt","165-linea-7-metrobus-",2017
414,417,"brt","82-linea-6-metrobus-",2016
363,366,"brt","80-linea-4-metrobus-",2012
128,452,"brt","165-linea-7-metrobus-",2017
444,445,"brt","165-linea-7-metrobus-",2017
83,227,"heavy_rail","53-linea-7",1984
256,264,"heavy_rail","57-linea-b",2000
133,218,"heavy_rail","55-linea-9",1987
453,454,"brt","165-linea-7-metrobus-",2017
227,228,"heavy_rail","53-linea-7",1985
122,131,"heavy_rail","49-linea-3",1970
76,77,"heavy_rail","47-linea-1",1984
185,189,"heavy_rail","50-linea-4",1982
119,182,"heavy_rail","51-linea-5",1982
111,118,"heavy_rail","49-linea-3",1979
282,287,"commuter_rail","76-tren-suburbano",2008
56,57,"heavy_rail","47-linea-1",1972
133,226,"heavy_rail","55-linea-9",1988
55,159,"heavy_rail","58-linea-12",2018
1,11,"brt","77-linea-1-metrobus-",2008
18,21,"brt","78-linea-2-metrobus-",2008
16,45,"brt","78-linea-2-metrobus-",2008
447,448,"brt","165-linea-7-metrobus-",2017
109,281,"light_rail","111-tren-ligero",1986
57,59,"heavy_rail","47-linea-1",1970
49,54,"inter_city_rail","170-tren-interurbano-mexico---toluca",2018
59,76,"heavy_rail","47-linea-1",1969
118,122,"heavy_rail","49-linea-3",1978
83,108,"heavy_rail","48-linea-2",1970
80,83,"heavy_rail","48-linea-2",1984
131,140,"heavy_rail","49-linea-3",1980
140,145,"heavy_rail","49-linea-3",1983
136,343,"brt","79-linea-3-metrobus-",2011
119,205,"heavy_rail","51-linea-5",1982
124,256,"heavy_rail","57-linea-b",1999
83,238,"heavy_rail","53-linea-7",1988
347,348,"brt","80-linea-4-metrobus-",2012
146,155,"heavy_rail","56-linea-a",1991
159,176,"heavy_rail","58-linea-12",2012
128,204,"heavy_rail","54-linea-8",1994
177,207,"heavy_rail","52-linea-6",1986
207,239,"heavy_rail","52-linea-6",1983
344,346,"brt","80-linea-4-metrobus-",2012
182,217,"heavy_rail","51-linea-5",1981
178,185,"heavy_rail","50-linea-4",1981
