"nodeID_from","nodeID_to","mode","line","year"
15,16,"heavy_rail","4203-1",2018
7,16,"heavy_rail","4203-1",2011
4,7,"heavy_rail","4203-1",2015
4,19,"heavy_rail","4203-1",
18,28,"heavy_rail","4203-1",
28,31,"heavy_rail","4203-1",
38,39,"commuter_rail","4207-alger---aeroport-houari-boumediene",2019
34,35,"commuter_rail","4204-alger---el-affroun",1862
34,35,"commuter_rail","4205-alger---thenia",1862
6,35,"commuter_rail","4204-alger---el-affroun",1862
6,35,"commuter_rail","4205-alger---thenia",1862
6,35,"commuter_rail","4206-alger---zeralda",1862
6,35,"commuter_rail","4207-alger---aeroport-houari-boumediene",1862
6,38,"commuter_rail","4205-alger---thenia",1879
6,38,"commuter_rail","4207-alger---aeroport-houari-boumediene",1879
38,45,"commuter_rail","4205-alger---thenia",1879
45,46,"commuter_rail","4205-alger---thenia",1881
