"nodeID_from","nodeID_to","mode","line","year"
171,177,"commuter_rail","2746-mikawa-line",1941
177,179,"commuter_rail","2746-mikawa-line",1941
177,179,"commuter_rail","3001-mikawa-main-line",1922
179,181,"commuter_rail","3001-mikawa-main-line",1924
179,181,"commuter_rail","2746-mikawa-line",1941
181,184,"commuter_rail","2746-mikawa-line",1941
181,184,"commuter_rail","3001-mikawa-main-line",1927
184,185,"commuter_rail","2746-mikawa-line",1941
184,185,"commuter_rail","3001-mikawa-main-line",1928
171,177,"commuter_rail","3001-mikawa-main-line",1920
169,171,"commuter_rail","2746-mikawa-line",1959
138,139,"commuter_rail","2748-seto-line",1978
29,58,"heavy_rail","2295-kamiiida",2003
8,23,"heavy_rail","2292-higashiyama",1957
14,23,"heavy_rail","2292-higashiyama",1960
14,17,"heavy_rail","2292-higashiyama",1963
17,18,"heavy_rail","2292-higashiyama",1967
4,8,"heavy_rail","2292-higashiyama",1969
1,4,"heavy_rail","2292-higashiyama",1982
23,25,"heavy_rail","2293-meijo",1965
23,50,"heavy_rail","2293-meijo",1967
46,56,"heavy_rail","2294-meiko",2004
46,56,"heavy_rail","2293-meijo",1971
30,31,"heavy_rail","2293-meijo",2000
31,35,"heavy_rail","2293-meijo",2003
25,30,"heavy_rail","2293-meijo",1971
40,50,"heavy_rail","2293-meijo",1974
35,40,"heavy_rail","2293-meijo",2004
9,73,"heavy_rail","2296-tsurumai",1977
73,78,"heavy_rail","2296-tsurumai",1978
9,62,"heavy_rail","2296-tsurumai",1981
60,62,"heavy_rail","2296-tsurumai",1984
60,435,"heavy_rail","2296-tsurumai",1993
86,95,"heavy_rail","2297-sakura-dori",1994
79,86,"heavy_rail","2297-sakura-dori",1989
95,99,"heavy_rail","2297-sakura-dori",2011
101,109,"brt","2722-yutorito-line",2001
110,747,"people_mover","2764-linimo-(tōbu-kyūryō-line)",2005
119,133,"commuter_rail","2748-seto-line",1939
119,133,"commuter_rail","2765-seto-line",1905
141,146,"commuter_rail","2748-seto-line",1939
141,146,"commuter_rail","2765-seto-line",1915
138,146,"commuter_rail","2748-seto-line",1939
138,146,"commuter_rail","2765-seto-line",1911
134,147,"commuter_rail","2748-seto-line",1939
134,147,"commuter_rail","2765-seto-line",1911
133,768,"commuter_rail","2748-seto-line",1983
138,768,"commuter_rail","2748-seto-line",1956
133,134,"commuter_rail","2748-seto-line",1939
133,134,"commuter_rail","2765-seto-line",1906
148,178,"commuter_rail","2747-toyota-line",1979
157,167,"commuter_rail","2753-mikawa-line-(chiryū---hekinan)",1941
157,167,"commuter_rail","3001-mikawa-main-line",1914
167,169,"commuter_rail","3001-mikawa-main-line",1915
167,169,"commuter_rail","2753-mikawa-line-(chiryū---hekinan)",1941
169,171,"commuter_rail","3001-mikawa-main-line",1915
169,171,"commuter_rail","2753-mikawa-line-(chiryū---hekinan)",1941
157,196,"commuter_rail","2753-mikawa-line-(chiryū---hekinan)",1941
157,196,"commuter_rail","3001-mikawa-main-line",1926
196,271,"commuter_rail","2753-mikawa-line-(chiryū---hekinan)",1941
196,271,"commuter_rail","3001-mikawa-main-line",1928
199,207,"commuter_rail","2737-komaki-line",1948
199,207,"commuter_rail","3207-ozone-line",1931
207,211,"commuter_rail","2737-komaki-line",1948
207,211,"commuter_rail","3207-ozone-line",1931
207,211,"commuter_rail","2737-komaki-line",1989
211,219,"commuter_rail","2737-komaki-line",1948
211,219,"commuter_rail","3207-ozone-line",1931
58,199,"commuter_rail","2737-komaki-line",1948
58,199,"commuter_rail","3207-ozone-line",1931
58,199,"commuter_rail","2737-komaki-line",2003
221,222,"commuter_rail","3208-katsukawa-line",1931
223,229,"people_mover","3210-tokadai-line-(peachliner)",1991
230,231,"commuter_rail","3222-nishio-line",1926
230,231,"commuter_rail","3223-okazaki-line",1911
230,231,"commuter_rail","2744-nishio-line",1935
230,231,"commuter_rail","3222-nishio-line",1929
231,234,"commuter_rail","3222-nishio-line",1926
231,234,"commuter_rail","3223-okazaki-line",1911
231,234,"commuter_rail","2744-nishio-line",1935
231,234,"commuter_rail","3222-nishio-line",1929
234,236,"commuter_rail","2744-nishio-line",1935
234,236,"commuter_rail","3222-nishio-line",1926
234,236,"commuter_rail","3223-okazaki-line",1911
236,237,"commuter_rail","3222-nishio-line",1926
236,237,"commuter_rail","3223-okazaki-line",1911
236,237,"commuter_rail","2744-nishio-line",1935
236,237,"commuter_rail","3222-nishio-line",1929
237,239,"commuter_rail","2744-nishio-line",1935
237,239,"commuter_rail","3222-nishio-line",1926
237,239,"commuter_rail","3223-okazaki-line",1911
239,240,"commuter_rail","3222-nishio-line",1926
239,240,"commuter_rail","3223-okazaki-line",1911
239,240,"commuter_rail","2744-nishio-line",1935
239,240,"commuter_rail","3222-nishio-line",1929
240,262,"commuter_rail","2744-nishio-line",1935
240,262,"commuter_rail","3222-nishio-line",1926
240,262,"commuter_rail","3223-okazaki-line",1911
242,262,"commuter_rail","3222-nishio-line",1926
242,262,"commuter_rail","3223-okazaki-line",1911
244,245,"commuter_rail","3222-nishio-line",1926
244,245,"commuter_rail","3225-hirasaka-line",1914
243,244,"commuter_rail","3222-nishio-line",1926
243,244,"commuter_rail","3226-hirasaka-branch-line",1935
243,244,"commuter_rail","3225-hirasaka-line",1914
244,245,"commuter_rail","3222-nishio-line",1928
244,245,"commuter_rail","3226-hirasaka-branch-line",1935
245,247,"commuter_rail","3222-nishio-line",1926
245,247,"commuter_rail","3226-hirasaka-branch-line",1935
245,247,"commuter_rail","3225-hirasaka-line",1914
242,243,"commuter_rail","3222-nishio-line",1928
242,243,"commuter_rail","3226-hirasaka-branch-line",1935
249,259,"commuter_rail","2744-nishio-line",1944
249,259,"commuter_rail","3221-nishio-line",1926
259,262,"commuter_rail","2744-nishio-line",1944
259,262,"commuter_rail","3221-nishio-line",1928
262,272,"commuter_rail","3221-nishio-line",1928
262,264,"commuter_rail","2744-nishio-line",1935
262,264,"commuter_rail","3222-nishio-line",1928
242,264,"commuter_rail","3222-nishio-line",1926
242,264,"commuter_rail","3228-yoshida-line",1915
264,270,"commuter_rail","2744-nishio-line",1935
264,270,"commuter_rail","3222-nishio-line",1926
264,270,"commuter_rail","3228-yoshida-line",1915
242,243,"commuter_rail","3222-nishio-line",1926
242,243,"commuter_rail","3225-hirasaka-line",1914
270,271,"commuter_rail","2744-nishio-line",1943
252,273,"commuter_rail","3227-anjō-branch-line",1951
271,275,"commuter_rail","2745-gamagōri-line",1948
271,275,"commuter_rail","2753-mikawa-line-(chiryū---hekinan)",1941
271,275,"commuter_rail","3001-mikawa-main-line",1929
275,287,"commuter_rail","2745-gamagōri-line",1948
275,287,"commuter_rail","2753-mikawa-line-(chiryū---hekinan)",1941
275,287,"commuter_rail","3001-mikawa-main-line",1936
288,290,"commuter_rail","2738-tokoname-line",1962
290,312,"commuter_rail","2738-tokoname-line",1935
290,312,"commuter_rail","3232-tokoname-line",1912
312,318,"commuter_rail","2738-tokoname-line",1935
312,318,"commuter_rail","3232-tokoname-line",1913
318,320,"commuter_rail","2738-tokoname-line",2005
288,290,"commuter_rail","2738-tokoname-line",1935
288,290,"commuter_rail","3232-tokoname-line",1912
304,337,"commuter_rail","2741-kōwa-line",1943
304,337,"commuter_rail","3234-chita-line",1931
337,346,"commuter_rail","2741-kōwa-line",1943
337,346,"commuter_rail","3234-chita-line",1932
346,348,"commuter_rail","2741-kōwa-line",1943
346,348,"commuter_rail","3234-chita-line",1935
350,352,"commuter_rail","2742-chita-line",1975
352,353,"commuter_rail","2742-chita-line",1976
353,355,"commuter_rail","2742-chita-line",1980
356,357,"commuter_rail","2740-chikkō-line",1935
356,357,"commuter_rail","3242-chikkō-line",1924
358,363,"commuter_rail","3248-toyohashi-line",1930
393,406,"commuter_rail","3248-toyohashi-line",1926
406,410,"commuter_rail","3248-toyohashi-line",1926
410,411,"commuter_rail","3248-toyohashi-line",1926
410,411,"commuter_rail","3251-kozakai-branch-line",1935
410,411,"commuter_rail","3252-kozakai-branch-line",1927
410,411,"commuter_rail","3248-toyohashi-line",1927
411,412,"commuter_rail","3248-toyohashi-line",1927
391,393,"commuter_rail","3248-toyohashi-line",1926
391,393,"commuter_rail","3249-okazaki-line",1923
391,394,"commuter_rail","3248-toyohashi-line",1926
391,394,"commuter_rail","3249-okazaki-line",1923
371,394,"commuter_rail","3248-toyohashi-line",1926
371,394,"commuter_rail","3249-okazaki-line",1923
358,363,"commuter_rail","2729-nagoya-main-line",1948
371,394,"commuter_rail","2729-nagoya-main-line",1948
391,394,"commuter_rail","2729-nagoya-main-line",1948
391,393,"commuter_rail","2729-nagoya-main-line",1948
393,406,"commuter_rail","2729-nagoya-main-line",1948
406,410,"commuter_rail","2729-nagoya-main-line",1948
411,412,"commuter_rail","2729-nagoya-main-line",1948
410,411,"commuter_rail","2729-nagoya-main-line",1948
363,371,"commuter_rail","3248-toyohashi-line",1926
363,371,"commuter_rail","3249-okazaki-line",1923
363,371,"commuter_rail","3247-arimatsu-line",1917
358,363,"commuter_rail","3248-toyohashi-line",1926
358,363,"commuter_rail","3249-okazaki-line",1923
358,363,"commuter_rail","3247-arimatsu-line",1917
288,358,"commuter_rail","3248-toyohashi-line",1926
288,358,"commuter_rail","3249-okazaki-line",1923
288,358,"commuter_rail","3247-arimatsu-line",1917
424,428,"commuter_rail","2743-toyokawa-line",1945
424,426,"commuter_rail","2743-toyokawa-line",1954
429,431,"commuter_rail","3257-ichinomiya-line",1930
429,431,"inter_city_rail","3254-ichinomiya-line",1912
429,431,"inter_city_rail","3261-biwajima-line",1910
429,431,"commuter_rail","3262-ichinomiya-line",1921
429,431,"commuter_rail","3263-ichinomiya-line",1935
444,452,"commuter_rail","3257-ichinomiya-line",1930
444,452,"inter_city_rail","3254-ichinomiya-line",1912
444,452,"commuter_rail","3262-ichinomiya-line",1921
444,452,"commuter_rail","3263-ichinomiya-line",1935
451,452,"commuter_rail","3257-ichinomiya-line",1930
451,452,"inter_city_rail","3254-ichinomiya-line",1913
451,452,"commuter_rail","3262-ichinomiya-line",1921
451,452,"commuter_rail","3263-ichinomiya-line",1935
431,432,"commuter_rail","3257-ichinomiya-line",1930
431,432,"inter_city_rail","3254-ichinomiya-line",1912
431,432,"commuter_rail","3262-ichinomiya-line",1921
431,432,"commuter_rail","3263-ichinomiya-line",1935
432,443,"commuter_rail","2734-inuyama-line",1941
432,443,"commuter_rail","3263-ichinomiya-line",1935
432,443,"commuter_rail","3262-ichinomiya-line",1921
432,443,"inter_city_rail","3254-ichinomiya-line",1912
432,443,"commuter_rail","3257-ichinomiya-line",1930
443,464,"commuter_rail","2734-inuyama-line",1935
443,464,"commuter_rail","3258-inuyama-line",1930
443,464,"inter_city_rail","3255-inuyama-line",1912
443,464,"commuter_rail","3265-inuyama-line",1921
464,626,"commuter_rail","2734-inuyama-line",1935
464,626,"commuter_rail","3258-inuyama-line",1930
464,626,"commuter_rail","3265-inuyama-line",1926
469,471,"people_mover","3266-monkey-park-monorail-line",1962
444,475,"commuter_rail","2737-komaki-line",1935
444,475,"commuter_rail","3209-iwakura-line",1948
444,475,"commuter_rail","3259-komaki-line",1930
444,475,"inter_city_rail","3256-komaki-line",1920
444,475,"commuter_rail","3267-komaki-line",1921
475,476,"commuter_rail","2737-komaki-line",1935
475,476,"commuter_rail","3259-komaki-line",1930
475,476,"inter_city_rail","3256-komaki-line",1920
475,476,"commuter_rail","3267-komaki-line",1921
208,475,"commuter_rail","2737-komaki-line",1945
208,475,"commuter_rail","3209-iwakura-line",1948
432,494,"commuter_rail","3260-tsushima-line",1930
432,494,"inter_city_rail","3253-tsushima-line",1914
468,626,"commuter_rail","2734-inuyama-line",1964
626,627,"commuter_rail","3258-inuyama-line",1930
626,627,"commuter_rail","3265-inuyama-line",1926
363,371,"commuter_rail","2729-nagoya-main-line",1948
288,358,"commuter_rail","2729-nagoya-main-line",1948
432,494,"commuter_rail","2729-nagoya-main-line",1948
432,494,"commuter_rail","3264-tsushima-line",1921
490,494,"commuter_rail","2730-tsushima-line",1935
490,494,"commuter_rail","3260-tsushima-line",1930
490,494,"inter_city_rail","3253-tsushima-line",1914
490,494,"commuter_rail","3264-tsushima-line",1921
490,491,"commuter_rail","2730-tsushima-line",1935
490,491,"commuter_rail","3260-tsushima-line",1930
490,491,"inter_city_rail","3253-tsushima-line",1914
490,491,"commuter_rail","3264-tsushima-line",1921
490,491,"commuter_rail","2730-tsushima-line",1968
482,494,"commuter_rail","2730-tsushima-line",1935
494,495,"inter_city_rail","3270-kiyosu-line",1914
494,495,"commuter_rail","3272-kiyosu-line",1921
494,495,"commuter_rail","3274-meigi-line",1928
494,495,"commuter_rail","3275-meigi-line",1930
498,643,"inter_city_rail","3270-kiyosu-line",1914
498,643,"commuter_rail","3271-kiyosu-line",1935
498,643,"commuter_rail","3272-kiyosu-line",1921
498,643,"commuter_rail","3273-kiyosu-line",1930
491,499,"commuter_rail","2731-bisai-line",1935
491,499,"commuter_rail","3276-bisai-line",1898
491,499,"commuter_rail","3277-bisai-line",1925
491,499,"commuter_rail","3278-bisai-line",1930
491,506,"commuter_rail","3276-bisai-line",1898
491,506,"commuter_rail","3277-bisai-line",1925
491,506,"commuter_rail","3278-bisai-line",1930
490,491,"commuter_rail","2731-bisai-line",1935
490,491,"commuter_rail","3278-bisai-line",1931
490,516,"commuter_rail","2731-bisai-line",1935
490,516,"commuter_rail","3276-bisai-line",1899
490,516,"commuter_rail","3277-bisai-line",1925
490,516,"commuter_rail","3278-bisai-line",1930
490,506,"commuter_rail","3276-bisai-line",1899
490,506,"commuter_rail","3277-bisai-line",1925
490,506,"commuter_rail","3278-bisai-line",1930
490,491,"commuter_rail","2731-bisai-line",1968
516,520,"commuter_rail","2731-bisai-line",1935
516,520,"commuter_rail","3276-bisai-line",1900
516,520,"commuter_rail","3277-bisai-line",1925
516,520,"commuter_rail","3278-bisai-line",1930
520,528,"commuter_rail","2731-bisai-line",1935
520,528,"commuter_rail","3276-bisai-line",1914
520,528,"commuter_rail","3277-bisai-line",1925
520,528,"commuter_rail","3278-bisai-line",1930
527,528,"commuter_rail","2731-bisai-line",1935
527,528,"commuter_rail","3276-bisai-line",1914
527,528,"commuter_rail","3277-bisai-line",1925
527,528,"commuter_rail","3278-bisai-line",1930
527,530,"commuter_rail","2731-bisai-line",1935
527,530,"commuter_rail","3276-bisai-line",1914
527,530,"commuter_rail","3277-bisai-line",1925
527,530,"commuter_rail","3278-bisai-line",1930
532,533,"tram","3284-soto-line",1930
532,533,"tram","3286-soto-line",1935
532,533,"tram","3282-okoshi-line",1948
533,542,"tram","3284-soto-line",1930
533,542,"tram","3285-soto-line",1924
533,542,"tram","3286-soto-line",1935
533,542,"tram","3282-okoshi-line",1948
318,320,"commuter_rail","2739-airport-line",2005
560,562,"light_rail","3294-tono-line",1918
560,562,"commuter_rail","3305-taita-line",1926
561,562,"commuter_rail","2728-taita-line",1987
561,562,"commuter_rail","3305-taita-line",1928
561,562,"commuter_rail","3306-taita-line",1949
562,566,"commuter_rail","2728-taita-line",1987
562,566,"light_rail","3294-tono-line",1918
562,566,"commuter_rail","3305-taita-line",1926
562,566,"commuter_rail","3306-taita-line",1949
566,571,"commuter_rail","2728-taita-line",1987
566,571,"commuter_rail","3305-taita-line",1928
566,571,"commuter_rail","3306-taita-line",1949
559,572,"commuter_rail","2736-hiromi-line",1948
559,572,"heavy_rail","3295-tōmi-line",1928
559,572,"commuter_rail","3296-tōmi-line",1943
572,578,"commuter_rail","2736-hiromi-line",1948
572,578,"heavy_rail","3295-tōmi-line",1926
572,578,"light_rail","3294-tono-line",1920
572,578,"commuter_rail","3296-tōmi-line",1943
578,579,"commuter_rail","2736-hiromi-line",1952
566,572,"light_rail","3294-tono-line",1920
566,572,"heavy_rail","3295-tōmi-line",1926
574,588,"heavy_rail","3295-tōmi-line",1930
574,588,"commuter_rail","3296-tōmi-line",1943
574,588,"commuter_rail","3301-yaotsu-line",1948
218,543,"commuter_rail","2736-hiromi-line",1935
218,543,"commuter_rail","3297-imawatari-line",1925
218,543,"commuter_rail","3298-hiromi-line",1929
218,543,"commuter_rail","3299-hiromi-line",1930
218,546,"commuter_rail","2736-hiromi-line",1946
218,557,"commuter_rail","2736-hiromi-line",1935
218,557,"commuter_rail","3297-imawatari-line",1925
218,557,"commuter_rail","3298-hiromi-line",1929
218,557,"commuter_rail","3299-hiromi-line",1930
557,559,"commuter_rail","2736-hiromi-line",1935
557,559,"commuter_rail","3298-hiromi-line",1929
557,559,"commuter_rail","3299-hiromi-line",1930
626,627,"commuter_rail","2734-inuyama-line",1935
590,591,"commuter_rail","2735-kakamigahara-line",1935
590,591,"commuter_rail","3307-kakamigahara-line",1928
591,616,"commuter_rail","2735-kakamigahara-line",1935
591,616,"commuter_rail","3307-kakamigahara-line",1926
616,620,"commuter_rail","2735-kakamigahara-line",1935
616,620,"commuter_rail","3307-kakamigahara-line",1926
620,625,"commuter_rail","2735-kakamigahara-line",1935
620,625,"commuter_rail","3307-kakamigahara-line",1927
625,626,"commuter_rail","2735-kakamigahara-line",1964
625,627,"commuter_rail","3307-kakamigahara-line",1927
625,627,"commuter_rail","2735-kakamigahara-line",1935
628,636,"commuter_rail","2729-nagoya-main-line",1948
628,636,"commuter_rail","3274-meigi-line",1928
628,636,"commuter_rail","3275-meigi-line",1930
628,636,"commuter_rail","3309-nakamura-line",1924
628,636,"commuter_rail","3310-kōnomiya-branch-line",1925
628,636,"commuter_rail","3311-meigi-line",1935
628,630,"commuter_rail","2729-nagoya-main-line",1948
628,630,"commuter_rail","3275-meigi-line",1930
