"nodeID_from","nodeID_to","mode","line","year"
1,2,"default","2298-line-1",0
2,3,"default","2298-line-1",0
3,4,"default","2298-line-1",0
4,5,"default","2298-line-1",0
5,6,"default","2298-line-1",0
6,7,"default","2298-line-1",0
7,38,"default","2298-line-1",0
9,38,"default","2298-line-1",0
9,10,"default","2298-line-1",0
10,11,"default","2298-line-1",0
11,12,"default","2298-line-1",0
12,13,"default","2298-line-1",0
13,14,"default","2298-line-1",0
14,15,"default","2298-line-1",0
15,16,"default","2298-line-1",0
16,17,"default","2298-line-1",0
17,18,"default","2298-line-1",0
18,19,"default","2298-line-1",0
19,20,"default","2298-line-1",0
20,21,"default","2298-line-1",0
21,22,"default","2298-line-1",0
22,23,"default","2298-line-1",0
23,24,"default","2298-line-1",0
24,25,"default","2298-line-1",0
25,26,"default","2298-line-1",0
26,27,"default","2298-line-1",0
28,29,"default","2304-line-2",0
29,30,"default","2304-line-2",0
30,31,"default","2304-line-2",0
31,32,"default","2304-line-2",0
32,33,"default","2304-line-2",0
33,34,"default","2304-line-2",0
34,180,"default","2304-line-2",0
36,180,"default","2304-line-2",0
36,38,"default","2304-line-2",0
38,40,"default","2304-line-2",0
40,41,"default","2304-line-2",0
41,42,"default","2304-line-2",0
42,43,"default","2304-line-2",0
43,44,"default","2304-line-2",0
44,45,"default","2304-line-2",0
45,46,"default","2304-line-2",0
46,47,"default","2304-line-2",0
47,48,"default","2304-line-2",0
48,49,"default","2304-line-2",0
49,50,"default","2304-line-2",0
50,51,"default","2304-line-2",0
51,52,"default","2304-line-2",0
52,53,"default","2304-line-2",0
54,55,"default","2305-line-3",0
55,57,"default","2305-line-3",0
57,116,"default","2305-line-3",0
58,116,"default","2305-line-3",0
58,60,"default","2305-line-3",0
60,61,"default","2305-line-3",0
62,63,"default","2305-line-3",0
63,64,"default","2305-line-3",0
64,65,"default","2305-line-3",0
65,68,"default","2305-line-3",0
68,70,"default","2305-line-3",0
70,71,"default","2305-line-3",0
71,241,"default","2305-line-3",0
73,241,"default","2305-line-3",0
73,75,"default","2305-line-3",0
75,76,"default","2305-line-3",0
76,77,"default","2305-line-3",0
77,78,"default","2305-line-3",0
78,79,"default","2305-line-3",0
79,80,"default","2305-line-3",0
81,82,"default","2305-line-3",0
61,62,"default","2305-line-3",0
80,81,"default","2305-line-3",0
83,84,"default","2308-line-4",0
84,85,"default","2308-line-4",0
65,85,"default","2308-line-4",0
65,88,"default","2308-line-4",0
88,89,"default","2308-line-4",0
89,90,"default","2308-line-4",0
90,91,"default","2308-line-4",0
91,92,"default","2308-line-4",0
92,93,"default","2308-line-4",0
93,94,"default","2308-line-4",0
94,95,"default","2308-line-4",0
95,96,"default","2308-line-4",0
96,97,"default","2308-line-4",0
97,98,"default","2308-line-4",0
98,99,"default","2308-line-4",0
99,100,"default","2308-line-4",0
101,102,"default","2310-line-10",0
102,103,"default","2310-line-10",0
30,103,"default","2310-line-10",0
30,105,"default","2310-line-10",0
105,106,"default","2310-line-10",0
106,107,"default","2310-line-10",0
107,108,"default","2310-line-10",0
108,109,"default","2310-line-10",0
109,110,"default","2310-line-10",0
110,111,"default","2310-line-10",0
111,112,"default","2310-line-10",0
112,113,"default","2310-line-10",0
113,114,"default","2310-line-10",0
115,132,"default","3162-line-s8",2022
133,263,"default","3163-line-s1",2015
149,263,"default","3165-line-s7",2018
136,196,"default","3166-line-5",2023
133,167,"default","3167-line-s3",2017
1,227,"default","2298-line-1",2022
28,238,"default","2304-line-2",2022
139,234,"default","3170-line-s9",2017
246,258,"tram","3176-qilin-line",2016
31,238,"tram","3175-hexi-line",2014
101,247,"default","2310-line-10",2023
249,250,"default","3169-line-s6",2021
249,252,"default","3169-line-s6",2021
252,253,"default","3169-line-s6",2021
169,186,"default","3168-line-7",
186,195,"default","3168-line-7",2022
116,117,"default","3162-line-s8",2014
115,116,"default","3162-line-s8",2014
