"nodeID_from","nodeID_to","mode","line","year"
2,11,"heavy_rail","252-m1",2001
11,13,"heavy_rail","252-m1",2001
2,3,"heavy_rail","252-m1",1993
3,9,"heavy_rail","252-m1",1995
14,16,"heavy_rail","252-m1",2011
16,43,"heavy_rail","252-m1",2013
20,23,"light_rail","253-m6",2007
13,14,"heavy_rail","252-m1",2002
46,47,"heavy_rail","252-m1",
43,46,"heavy_rail","252-m1",2025
23,25,"light_rail","253-m6",2024
17,25,"light_rail","253-m6",2024
9,29,"heavy_rail","4369-line-11",2005
28,29,"heavy_rail","4369-line-11",2009
42,45,"commuter_rail","4368-line-2",1925
181,182,"tram","4370-line-1",2021
45,84,"tram","4372-line-4",2021
23,181,"tram","4370-line-1",
54,64,"commuter_rail","4373-ferrovia-cumana",1889
64,73,"commuter_rail","4373-ferrovia-cumana",1890
54,66,"commuter_rail","4374-ferrovia-circumflegrea",1962
66,67,"commuter_rail","4374-ferrovia-circumflegrea",1965
66,71,"commuter_rail","4374-ferrovia-circumflegrea",2024
71,72,"commuter_rail","4374-ferrovia-circumflegrea",
84,91,"commuter_rail","4493-ferrovia-circumvesuviana",1884
85,88,"commuter_rail","4493-ferrovia-circumvesuviana",1891
88,157,"commuter_rail","4493-ferrovia-circumvesuviana",1904
91,110,"commuter_rail","4493-ferrovia-circumvesuviana",2001
102,103,"commuter_rail","4493-ferrovia-circumvesuviana",1974
101,102,"commuter_rail","4493-ferrovia-circumvesuviana",2005
47,50,"heavy_rail","252-m1",2026
9,51,"heavy_rail","4369-line-11",2025
9,51,"heavy_rail","252-m1",2025
50,51,"heavy_rail","4369-line-11",2026
50,51,"heavy_rail","252-m1",2026
67,83,"commuter_rail","4374-ferrovia-circumflegrea",1968
157,169,"commuter_rail","4493-ferrovia-circumvesuviana",1934
169,171,"commuter_rail","4493-ferrovia-circumvesuviana",1940
171,180,"commuter_rail","4493-ferrovia-circumvesuviana",1948
103,118,"commuter_rail","4493-ferrovia-circumvesuviana",1998
91,97,"commuter_rail","4493-ferrovia-circumvesuviana",1884
97,103,"commuter_rail","4493-ferrovia-circumvesuviana",1998
97,118,"commuter_rail","4493-ferrovia-circumvesuviana",1884
88,133,"commuter_rail","4493-ferrovia-circumvesuviana",1891
126,133,"commuter_rail","4493-ferrovia-circumvesuviana",1904
118,119,"commuter_rail","4493-ferrovia-circumvesuviana",1884
119,125,"commuter_rail","4493-ferrovia-circumvesuviana",1885
157,159,"commuter_rail","4493-ferrovia-circumvesuviana",2009
129,159,"commuter_rail","4493-ferrovia-circumvesuviana",1904
157,159,"commuter_rail","4493-ferrovia-circumvesuviana",1904
181,182,"tram","4372-line-4",2021
45,84,"tram","4370-line-1",2021
