"nodeID_from","nodeID_to","mode","line","year"
18,123,"heavy_rail","3212-pink",2018
223,224,"heavy_rail","2758-red",2002
19,224,"heavy_rail","2758-red",2002
236,239,"heavy_rail","2758-red",2005
212,220,"heavy_rail","2758-red",2019
19,25,"heavy_rail","2758-red",2002
220,223,"heavy_rail","2758-red",2008
227,231,"heavy_rail","2758-red",2003
231,236,"heavy_rail","2758-red",2005
25,227,"heavy_rail","2758-red",2002
28,226,"heavy_rail","2757-yellow",2005
22,226,"heavy_rail","2757-yellow",2004
28,31,"heavy_rail","2757-yellow",2005
31,39,"heavy_rail","2757-yellow",2005
33,38,"heavy_rail","2757-yellow",2010
33,39,"heavy_rail","2757-yellow",2005
38,44,"heavy_rail","2757-yellow",2010
44,47,"heavy_rail","2757-yellow",2010
47,55,"heavy_rail","2757-yellow",2010
53,55,"heavy_rail","2757-yellow",2010
55,56,"heavy_rail","3543-rapid-metro-gurgaon",2013
55,60,"heavy_rail","3543-rapid-metro-gurgaon",2017
56,62,"heavy_rail","3543-rapid-metro-gurgaon",2013
56,62,"heavy_rail","3543-rapid-metro-gurgaon",2013
21,22,"heavy_rail","2757-yellow",2009
65,68,"heavy_rail","2757-yellow",2009
65,66,"heavy_rail","2757-yellow",2009
66,203,"heavy_rail","2757-yellow",2009
21,203,"heavy_rail","2757-yellow",2009
68,69,"heavy_rail","2757-yellow",2015
69,70,"heavy_rail","2757-yellow",2015
72,74,"heavy_rail","2759-blue",2006
74,85,"heavy_rail","2759-blue",2005
39,85,"heavy_rail","2759-blue",2005
30,39,"heavy_rail","2759-blue",2005
72,92,"heavy_rail","2759-blue",2006
92,93,"heavy_rail","2759-blue",2010
93,94,"heavy_rail","2759-blue",2010
95,96,"heavy_rail","3541-orange-line---airport-express",2011
29,30,"heavy_rail","2759-blue",2006
29,97,"heavy_rail","2759-blue",2006
98,129,"heavy_rail","2759-blue",2009
97,98,"heavy_rail","2759-blue",2006
100,129,"heavy_rail","2759-blue",2009
99,100,"heavy_rail","2759-blue",2009
99,111,"heavy_rail","2759-blue",2009
111,114,"heavy_rail","2759-blue",2019
114,115,"heavy_rail","2759-blue",2019
100,121,"heavy_rail","3539-4---blue-branch",2010
100,129,"heavy_rail","3539-4---blue-branch",2010
121,128,"heavy_rail","3212-pink",2018
121,123,"heavy_rail","3212-pink",2018
119,121,"heavy_rail","3539-4---blue-branch",2010
119,122,"heavy_rail","3539-4---blue-branch",2011
137,143,"heavy_rail","3313-aqua-line",2018
137,150,"heavy_rail","3313-aqua-line",2010
150,231,"heavy_rail","3313-aqua-line",2010
151,155,"heavy_rail","3313-aqua-line",2011
150,155,"heavy_rail","3313-aqua-line",2011
2,162,"heavy_rail","3540-6---violet-line",2010
10,33,"heavy_rail","3540-6---violet-line",2017
2,33,"heavy_rail","3540-6---violet-line",2010
162,172,"heavy_rail","3540-6---violet-line",2010
172,176,"heavy_rail","3540-6---violet-line",2011
176,184,"heavy_rail","3540-6---violet-line",2015
184,188,"heavy_rail","3540-6---violet-line",2018
202,204,"heavy_rail","3212-pink",2018
196,202,"heavy_rail","3212-pink",2018
195,196,"heavy_rail","3212-pink",2018
194,195,"heavy_rail","3212-pink",2018
192,194,"heavy_rail","3212-pink",2018
192,193,"heavy_rail","3212-pink",2018
164,193,"heavy_rail","3212-pink",2018
164,165,"heavy_rail","3212-pink",2018
165,170,"heavy_rail","3212-pink",2018
170,190,"heavy_rail","3212-pink",2018
128,190,"heavy_rail","3212-pink",2021
95,258,"heavy_rail","3541-orange-line---airport-express",2011
192,258,"heavy_rail","3541-orange-line---airport-express",2011
208,209,"heavy_rail","3542-9---grey-line",2019
209,210,"heavy_rail","3542-9---grey-line",2019
210,211,"heavy_rail","3542-9---grey-line",2021
248,249,"heavy_rail","3213-magenta",2017
247,248,"heavy_rail","3213-magenta",2017
246,247,"heavy_rail","3213-magenta",2017
245,246,"heavy_rail","3213-magenta",2017
240,251,"heavy_rail","3213-magenta",2017
250,251,"heavy_rail","3213-magenta",2017
249,250,"heavy_rail","3213-magenta",2017
240,252,"heavy_rail","3213-magenta",2017
252,258,"heavy_rail","3213-magenta",2018
258,260,"heavy_rail","3213-magenta",2018
265,266,"heavy_rail","3544-aqua-line",2019
265,267,"heavy_rail","3544-aqua-line",2019
267,268,"heavy_rail","3544-aqua-line",2019
268,269,"heavy_rail","3544-aqua-line",2019
269,270,"heavy_rail","3544-aqua-line",2019
270,271,"heavy_rail","3544-aqua-line",2019
271,272,"heavy_rail","3544-aqua-line",2019
272,274,"heavy_rail","3544-aqua-line",2019
273,274,"heavy_rail","3544-aqua-line",2019
273,275,"heavy_rail","3544-aqua-line",2019
275,277,"heavy_rail","3544-aqua-line",2019
276,277,"heavy_rail","3544-aqua-line",2019
276,280,"heavy_rail","3544-aqua-line",2019
280,283,"heavy_rail","3544-aqua-line",2019
281,283,"heavy_rail","3544-aqua-line",2019
281,282,"heavy_rail","3544-aqua-line",2019
282,284,"heavy_rail","3544-aqua-line",2019
15,204,"heavy_rail","3212-pink",2026
264,301,"heavy_rail","3213-magenta",2025
85,301,"heavy_rail","3213-magenta",2026
299,324,"heavy_rail","7212-11---golden-line-spur",2029
95,259,"heavy_rail","7211-golden",2027
95,175,"heavy_rail","7211-golden",2026
