"nodeID_from","nodeID_to","mode","line","year"
313,331,"heavy_rail","361-ligne-9",1934
119,331,"heavy_rail","361-ligne-9",1923
119,420,"heavy_rail","361-ligne-9",1922
72,420,"heavy_rail","361-ligne-9",1923
72,371,"heavy_rail","361-ligne-9",1928
726,727,"heavy_rail","365-ligne-13",1998
726,727,"heavy_rail","365-ligne-13",1998
727,779,"heavy_rail","365-ligne-13",1998
729,730,"heavy_rail","365-ligne-13",1976
454,730,"heavy_rail","365-ligne-13",1998
454,730,"heavy_rail","365-ligne-13",1998
728,730,"heavy_rail","365-ligne-13",1976
454,727,"heavy_rail","365-ligne-13",1998
454,779,"heavy_rail","365-ligne-13",1998
728,733,"heavy_rail","365-ligne-13",1976
728,733,"heavy_rail","365-ligne-13",1976
728,729,"heavy_rail","365-ligne-13",1976
733,734,"heavy_rail","365-ligne-13",1952
25,733,"heavy_rail","365-ligne-13",1952
25,734,"heavy_rail","365-ligne-13",1952
201,332,"heavy_rail","365-ligne-13",1911
25,332,"heavy_rail","365-ligne-13",1952
201,825,"heavy_rail","365-ligne-13",1911
391,739,"heavy_rail","365-ligne-13",1973
53,739,"heavy_rail","365-ligne-13",1975
53,241,"heavy_rail","365-ligne-13",1976
241,740,"heavy_rail","365-ligne-13",1976
561,562,"light_rail","368-ligne-2",1997
200,551,"light_rail","368-ligne-2",2012
563,564,"light_rail","368-ligne-2",1997
505,509,"light_rail","506-t-11-express",2027
563,564,"light_rail","368-ligne-2",1997
106,260,"heavy_rail","362-ligne-10",1937
104,105,"default","407-funiculaire",1900
173,174,"heavy_rail","363-ligne-11",2025
234,236,"heavy_rail","356-ligne-4",2020
215,588,"heavy_rail","352-ligne-1",1900
281,283,"people_mover","394-orlyval",1991
289,291,"people_mover","466-cdgval-2",2012
143,288,"people_mover","471-cdgexpress",2023
284,288,"people_mover","465-cdgval-1",2007
62,588,"heavy_rail","352-ligne-1",1934
552,556,"light_rail","368-ligne-2",1997
514,516,"light_rail","367-ligne-1",2012
514,516,"light_rail","367-ligne-1",2012
517,518,"light_rail","367-ligne-1",2012
516,518,"light_rail","367-ligne-1",2012
556,557,"light_rail","368-ligne-2",1997
556,557,"light_rail","368-ligne-2",1997
25,438,"heavy_rail","366-ligne-14",2023
490,514,"light_rail","367-ligne-1",2018
568,573,"light_rail","368-ligne-2",1997
28,201,"heavy_rail","365-ligne-13",1912
560,561,"light_rail","368-ligne-2",1997
560,561,"light_rail","368-ligne-2",1997
562,563,"light_rail","368-ligne-2",1997
561,562,"light_rail","368-ligne-2",1997
562,563,"light_rail","368-ligne-2",1997
469,470,"light_rail","367-ligne-1",2003
470,512,"light_rail","367-ligne-1",2003
471,512,"light_rail","367-ligne-1",2003
471,512,"light_rail","367-ligne-1",2003
516,517,"light_rail","367-ligne-1",2012
139,359,"heavy_rail","357-ligne-5",1906
454,540,"light_rail","367-ligne-1",1992
230,335,"heavy_rail","364-ligne-12",1934
332,391,"heavy_rail","365-ligne-13",1911
469,512,"light_rail","367-ligne-1",2003
718,721,"heavy_rail","355-ligne-3bis",1971
719,721,"heavy_rail","354-ligne-3",1971
135,327,"heavy_rail","364-ligne-12",2012
471,487,"light_rail","367-ligne-1",2019
200,694,"light_rail","368-ligne-2",1997
181,267,"heavy_rail","366-ligne-14",1937
267,333,"heavy_rail","366-ligne-14",1937
391,703,"heavy_rail","366-ligne-14",2003
25,391,"heavy_rail","366-ligne-14",2019
444,698,"heavy_rail","366-ligne-14",2024
696,697,"heavy_rail","643-ligne-horizon",1993
452,524,"light_rail","367-ligne-1",2012
167,173,"heavy_rail","363-ligne-11",2023
297,320,"heavy_rail","354-ligne-3",1911
4,270,"heavy_rail","406-ancien-m-2nord",1903
296,721,"heavy_rail","354-ligne-3",1905
350,364,"heavy_rail","356-ligne-4",1909
234,350,"heavy_rail","356-ligne-4",2013
296,433,"heavy_rail","354-ligne-3",1904
297,433,"heavy_rail","354-ligne-3",1910
342,721,"heavy_rail","354-ligne-3",1921
66,117,"heavy_rail","356-ligne-4",1908
66,117,"heavy_rail","356-ligne-4",1977
66,364,"heavy_rail","356-ligne-4",1910
292,303,"heavy_rail","405-ancien-m-2sud",1906
116,149,"heavy_rail","357-ligne-5",1942
139,303,"heavy_rail","357-ligne-5",1906
183,359,"heavy_rail","357-ligne-5",1906
149,183,"heavy_rail","357-ligne-5",1907
292,419,"heavy_rail","405-ancien-m-2sud",1903
276,328,"heavy_rail","303-ligne-7",1910
279,314,"heavy_rail","303-ligne-7",1926
124,328,"heavy_rail","303-ligne-7",1979
207,430,"heavy_rail","303-ligne-7",1985
231,346,"heavy_rail","303-ligne-7",1946
31,116,"heavy_rail","357-ligne-5",1985
276,279,"heavy_rail","303-ligne-7",1916
303,805,"heavy_rail","358-ligne-6",1942
314,346,"heavy_rail","303-ligne-7",1931
207,587,"heavy_rail","303-ligne-7",1942
124,199,"heavy_rail","303-ligne-7",1987
14,276,"heavy_rail","360-ligne-8",1913
106,132,"heavy_rail","362-ligne-10",1923
14,57,"heavy_rail","360-ligne-8",1913
193,302,"heavy_rail","460-ancienne-ligne-a-nord-sud",1912
14,16,"heavy_rail","360-ligne-8",1937
56,321,"heavy_rail","360-ligne-8",1942
56,240,"heavy_rail","360-ligne-8",1970
239,240,"heavy_rail","360-ligne-8",1972
276,321,"heavy_rail","360-ligne-8",1931
50,308,"heavy_rail","362-ligne-10",1930
40,262,"heavy_rail","362-ligne-10",1980
58,259,"heavy_rail","360-ligne-8",1913
68,718,"heavy_rail","363-ligne-11",1935
303,323,"heavy_rail","362-ligne-10",1930
132,275,"heavy_rail","362-ligne-10",1925
329,371,"heavy_rail","361-ligne-9",1933
233,329,"heavy_rail","361-ligne-9",1937
106,180,"heavy_rail","362-ligne-10",1923
50,275,"heavy_rail","362-ligne-10",1930
40,41,"heavy_rail","362-ligne-10",1981
50,142,"heavy_rail","362-ligne-10",1939
167,718,"heavy_rail","363-ligne-11",1937
193,327,"heavy_rail","460-ancienne-ligne-a-nord-sud",1916
272,302,"heavy_rail","460-ancienne-ligne-a-nord-sud",1911
272,335,"heavy_rail","460-ancienne-ligne-a-nord-sud",1910
518,523,"light_rail","367-ligne-1",2012
551,694,"light_rail","368-ligne-2",1997
452,524,"light_rail","367-ligne-1",2012
452,525,"light_rail","367-ligne-1",2012
518,523,"light_rail","367-ligne-1",2012
523,524,"light_rail","367-ligne-1",2012
452,525,"light_rail","367-ligne-1",2012
523,524,"light_rail","367-ligne-1",2012
455,540,"light_rail","367-ligne-1",1992
552,553,"light_rail","368-ligne-2",1997
553,694,"light_rail","368-ligne-2",1997
552,553,"light_rail","368-ligne-2",1997
463,546,"heavy_rail","406-ancien-m-2nord",0
466,468,"light_rail","367-ligne-1",2003
468,469,"light_rail","367-ligne-1",2003
468,469,"light_rail","367-ligne-1",2003
533,539,"light_rail","374-t-8",2014
525,540,"light_rail","367-ligne-1",1992
454,525,"light_rail","367-ligne-1",1992
463,511,"light_rail","367-ligne-1",1992
455,457,"light_rail","367-ligne-1",1992
463,511,"light_rail","367-ligne-1",1992
457,543,"light_rail","367-ligne-1",1992
511,543,"light_rail","367-ligne-1",1992
455,511,"light_rail","367-ligne-1",1992
455,540,"light_rail","367-ligne-1",1992
463,468,"light_rail","367-ligne-1",1992
463,545,"light_rail","367-ligne-1",1992
466,545,"light_rail","367-ligne-1",2003
552,556,"light_rail","368-ligne-2",1997
566,569,"light_rail","368-ligne-2",1997
