"nodeID_from","nodeID_to","mode","line","year"
15,24,"default","631-metro-b",0
14,23,"default","632-metro-c",0
23,24,"default","632-metro-c",0
23,24,"default","632-metro-c",0
15,24,"default","631-metro-b",0
2,15,"default","631-metro-b",0
39,42,"default","631-metro-b",0
37,42,"default","631-metro-b",0
2,37,"default","631-metro-b",0
37,42,"default","631-metro-b",0
39,42,"default","631-metro-b",0
15,37,"default","631-metro-b",0
24,27,"default","631-metro-b",0
43,44,"default","630-metro-a",0
43,44,"default","630-metro-a",0
45,46,"default","630-metro-a",0
