city_tag,city_index,city_name,n_nodes,m_edges_multi,m_edges_simple,density_simple,avg_degree_simple,avg_degree_multi,n_components,giant_component_frac,transitivity,mean_distance,median_distance,p90_distance,diameter,modularity_louvain,n_communities_louvain,modularity_infomap,n_communities_infomap,mean_edge_multiplicity,max_edge_multiplicity
1_buenos-aires,1,buenos-aires,793,185,182,0.000579566153336645,0.459016393442623,0.466582597730139,614,0.0920554854981084,0.0154639175257732,9.48592085235921,9,16,26,0.918503200096606,618,0.887906049993962,628,1.01648351648352,2
4_santiago-de-chile,4,santiago-de-chile,429,385,174,0.00189530096072152,0.811188811188811,1.7948717948718,293,0.247086247086247,0.0857142857142857,5.36729559748428,5,8,15,0.741181133571145,300,0.715996168582376,309,2.21264367816092,9
7_algiers,7,algiers,49,17,12,0.0102040816326531,0.489795918367347,0.693877551020408,37,0.142857142857143,0,2.38095238095238,2,4,5,0.649305555555556,38,0.611111111111111,37,1.41666666666667,4
8_amsterdam,8,amsterdam,114,27,17,0.00263934171712467,0.298245614035088,0.473684210526316,98,0.140350877192982,0.125,3.4,3,5,7,0.52076124567474,100,0.52076124567474,100,1.58823529411765,3
9_ankara,9,ankara,77,16,14,0.00478468899521531,0.363636363636364,0.415584415584416,63,0.142857142857143,0,3.74545454545455,3,7,9,0.630102040816326,65,0.619897959183674,64,1.14285714285714,2
11_athens,11,athens,253,322,120,0.00376435159043855,0.948616600790514,2.54545454545455,162,0.355731225296443,0.121621621621622,6.2896379525593,6,10,16,0.702638888888889,170,0.6934375,175,2.68333333333333,15
13_bangkok,13,bangkok,222,21,21,0.000856059679589091,0.189189189189189,0.189189189189189,201,0.036036036036036,0,2.21428571428571,2,3,4,0.77891156462585,202,0.775510204081632,201,1,1
14_barcelona,14,barcelona,440,211,144,0.00149099192379375,0.654545454545455,0.959090909090909,306,0.277272727272727,0.0143540669856459,10.2732692047148,10,17,25,0.801866319444445,315,0.776765046296296,325,1.46527777777778,4
15_beijing,15,beijing,573,101,99,0.000604107933950866,0.345549738219895,0.352530541012216,477,0.0191972076788831,0.038961038961039,2.90909090909091,3,5,7,0.945617794102643,477,0.93531272319151,479,1.02020202020202,2
21_bogota,21,bogota,204,21,21,0.00101419878296146,0.205882352941176,0.205882352941176,183,0.0392156862745098,0,2.53571428571429,2,4,5,0.819727891156463,184,0.816326530612245,183,1,1
22_mumbai,22,mumbai,408,52,47,0.00056607409548586,0.230392156862745,0.254901960784314,361,0.0343137254901961,0,4.47252747252747,4,8,11,0.870755998189226,362,0.871661385242191,362,1.1063829787234,3
23_bordeaux,23,bordeaux,237,181,172,0.00615032539512265,1.45147679324895,1.52742616033755,75,0.354430379746835,0,14.8304647160069,13,29,40,0.82750811249324,85,0.798979177934018,97,1.05232558139535,2
26_bristol,26,bristol,6,0,0,0,0,0,6,0.166666666666667,,,,,,,,,,,
27_brussels,27,brussels,163,185,89,0.00674089222146482,1.0920245398773,2.26993865030675,92,0.411042944785276,0.0436893203883495,4.55585707824514,5,7,10,0.667150612296427,99,0.650738543113243,103,2.07865168539326,9
28_bucharest,28,bucharest,62,24,22,0.0116340560549974,0.709677419354839,0.774193548387097,40,0.306451612903226,0,5.08771929824561,5,9,13,0.662190082644628,42,0.660123966942149,44,1.09090909090909,2
29_budapest,29,budapest,47,10,10,0.00925069380203515,0.425531914893617,0.425531914893617,37,0.170212765957447,0,2.39285714285714,2,4,5,0.585,38,0.585,38,1,1
30_cairo,30,cairo,148,11,11,0.00101121529692958,0.148648648648649,0.148648648648649,137,0.0337837837837838,0,1.8,2,3,3,0.793388429752066,137,0.793388429752066,137,1,1
31_calcutta,31,calcutta,67,24,24,0.0108548168249661,0.716417910447761,0.716417910447761,43,0.373134328358209,0,6.99333333333333,6,13,19,0.620659722222222,48,0.619791666666667,48,1,1
32_guangzhou,32,guangzhou,438,158,158,0.00165094093184122,0.721461187214612,0.721461187214612,285,0.296803652968037,0,17.1051878354204,15,32,53,0.847800833199808,294,0.817797628585162,305,1,1
34_caracas,34,caracas,9,2,2,0.0555555555555556,0.444444444444444,0.444444444444444,7,0.333333333333333,0,1.33333333333333,1,2,2,0,7,0,7,1,1
37_chongqing,37,chongqing,391,171,170,0.00222965440356745,0.869565217391304,0.874680306905371,222,0.163682864450128,0,16.4469246031746,15,33,46,0.878754325259516,231,0.836608996539793,244,1.00588235294118,2
39_cordoba,39,cordoba,11,1,1,0.0181818181818182,0.181818181818182,0.181818181818182,10,0.181818181818182,,1,1,1,1,0,10,0,10,1,1
