"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Santos Dumont",-22.9123078611246,-43.1675183108144,"light_rail",2016
2,"Praia Formosa",-22.9029450921313,-43.2082133951377,"light_rail",2017
3,"Cinelândia",-22.9108641751641,-43.1754190096897,"light_rail",2016
4,"Antônio Carlos",-22.9112596868056,-43.1720359732811,"light_rail",2016
5,"Carioca",-22.9073532880701,-43.1767239989527,"light_rail",2016
6,"Sete de Setembro",-22.9051091912709,-43.1775530885456,"light_rail",2016
7,"Candelária",-22.9015338856138,-43.178886043254,"light_rail",2016
8,"São Bento",-22.8988228648445,-43.1798950365832,"light_rail",2016
9,"Parada dos Museus",-22.8959034322261,-43.1820030575979,"light_rail",2016
10,"Parada dos Navios",-22.8941592747064,-43.1871274518402,"light_rail",2016
11,"Utopia/AquaRio",-22.8930671029219,-43.1902978438775,"light_rail",2016
12,"Praça XV",-22.9019834492444,-43.1729622763236,"light_rail",2017
13,"Colombo",-22.9050837292681,-43.1778943112915,"light_rail",2017
14,"Tiradentes",-22.9065292862966,-43.1827288091551,"light_rail",2017
15,"Saara",-22.9056038617198,-43.1875175843692,"light_rail",2017
16,"10874",-22.9557860620634,-43.166987834865,"default",1912
17,"10875",-22.951686874556,-43.1650828406991,"default",1912
18,"10876",-22.9511329207655,-43.1637794236434,"default",1913
19,"10877",-22.9496187686785,-43.1567008665057,"default",1913
20,"Glória",-22.9206456,-43.1767129,"heavy_rail",1979
21,"Catete",-22.9263263,-43.1765838,"heavy_rail",1981
22,"Botafogo",-22.9503628,-43.1842154,"heavy_rail",1981
23,"São Francisco Xavier",-22.920772,-43.2235819,"heavy_rail",1982
24,"Afonso Pena",-22.9184484,-43.2177451,"heavy_rail",1982
25,"Central",-22.9050384,-43.1907819,"heavy_rail",1979
26,"Praça Onze",-22.909917,-43.200283,"heavy_rail",1979
27,"Carioca",-22.9075413,-43.178026,"heavy_rail",1981
28,"Flamengo",-22.9381724,-43.1782113,"heavy_rail",1981
29,"Largo do Machado",-22.9308513,-43.1781402,"heavy_rail",1981
30,"Cinelândia",-22.9109063,-43.1756533,"heavy_rail",1979
31,"Saens Peña",-22.924141,-43.2325924,"heavy_rail",1982
32,"Presidente Vargas",-22.903341,-43.1861796,"heavy_rail",1979
33,"Uruguaiana",-22.9029089,-43.1818193,"heavy_rail",1980
34,"Uruguai",-22.9309412,-43.2382699,"heavy_rail",2014
35,"Pavuna",-22.8063663,-43.3655335,"heavy_rail",1998
36,"Estácio",-22.9135438,-43.2065639,"heavy_rail",0
37,"Cidade Nova",-22.9087419761445,-43.2061360212954,"heavy_rail",2010
38,"Maracanã",-22.9096861,-43.2344437,"heavy_rail",1981
39,"São Cristóvão",-22.9096837,-43.2209965,"heavy_rail",1981
40,"Triagem",-22.8964547,-43.2449358,"heavy_rail",1988
41,"Maria da Graça",-22.8815393,-43.260399,"heavy_rail",1983
42,"Nova América/Del Castilho",-22.8790743066213,-43.2724203556205,"heavy_rail",1983
43,"Inhaúma",-22.8746115,-43.283145,"heavy_rail",1983
44,"Thomaz Coelho",-22.8626154292385,-43.3068612040534,"heavy_rail",1996
45,"Vicente de Carvalho",-22.8544318362051,-43.3126118063751,"heavy_rail",1996
46,"Engenho da Rainha",-22.8678968,-43.2975758,"heavy_rail",1991
47,"Irajá",-22.8479804,-43.3235281,"heavy_rail",1998
48,"Colégio",-22.8427042,-43.3343318,"heavy_rail",1998
49,"Coelho Neto",-22.8317763123128,-43.3430470044872,"heavy_rail",1998
50,"Acari / Fazenda Botafogo",-22.824934832362,-43.3494432356808,"heavy_rail",1998
51,"Engenheiro Rubens Paiva",-22.8163174351123,-43.3585245719095,"heavy_rail",1998
52,"Cardeal Arcoverde",-22.9635256,-43.181734,"heavy_rail",1998
53,"General Osório",-22.9846735417674,-43.1968662982965,"heavy_rail",2009
54,"Cantagalo",-22.9754703,-43.1944503,"heavy_rail",2007
55,"Siqueira Campos",-22.9671783,-43.187363,"heavy_rail",2002
56,"Antero de Quental",-22.9844923,-43.2235693,"heavy_rail",2016
57,"Jardim de Alah",-22.9837072,-43.2157299,"heavy_rail",2016
