"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Monte Compatri - Pantano",41.8656750257717,12.7076091608316,"default",2014
2,"Graniti",41.8656716751195,12.6980770914682,"default",2014
3,"Finocchio",41.8655201003992,12.6876293479024,"default",2014
4,"Bolognetta",41.8650460784175,12.6807258961469,"default",2014
5,"Borghesiana",41.8646900911318,12.6673804621048,"default",2014
6,"Due Leoni - Fontana Candida",41.8649289324004,12.6581352213049,"default",2014
7,"Grotte Celoni",41.8629170149198,12.6461422045805,"default",2014
8,"Torre Gaia",41.8641405314613,12.6367023834086,"default",2014
9,"Torre Angela",41.8643427229023,12.625761467211,"default",2014
10,"Torrenova",41.8633403422668,12.6168925549534,"default",2014
11,"Giardinetti",41.8641519263359,12.6105038058153,"default",2014
12,"Torre Maura",41.8665338435854,12.5971142405516,"default",2014
13,"Torre Spaccata",41.8688226343983,12.5864142824549,"default",2014
14,"Alessandrino",41.8713728028114,12.5790003463933,"default",2014
15,"Parco di Centocelle",41.8748177538496,12.5680448318734,"default",2014
16,"Mirti",41.8811306779609,12.5666351293176,"default",2015
17,"Gardenie",41.8861357246246,12.5620578067544,"default",2015
18,"Teano",41.8893062165839,12.551602251073,"default",2015
19,"Malatesta",41.8873412109143,12.5404564774241,"default",2015
20,"Pigneto",41.8885936006478,12.5282960367314,"default",2015
21,"Lodi",41.88677607411,12.5182254175688,"default",2015
22,"San Giovanni",41.8855817724266,12.5102478790008,"default",2018
23,"Anagnina",41.8427950178923,12.5857300550257,"default",1980
24,"Cinecittà",41.8492714526498,12.5744281600025,"default",1980
25,"Subaugusta",41.8537649827763,12.5678167390648,"default",1980
26,"Giulio Agricola",41.8566399129788,12.5626481717986,"default",1980
27,"Lucio Sestio",41.8597366230378,12.5570669417596,"default",1980
28,"Numidio Quadrato",41.8620250621872,12.5527613829814,"default",1980
29,"Porta Furba - Quadraro",41.86374564283,12.5482971493064,"default",1980
30,"Arco di Travertino",41.8663986541612,12.5351192916571,"default",1980
31,"Colli Albani",41.8695484401089,12.529864695152,"default",1980
32,"Furio Camillo",41.8747645482999,12.5229920347508,"default",1980
33,"Ponte Lungo",41.8777902560423,12.5190945256588,"default",1980
34,"Re di Roma",41.8815604764967,12.5144297161514,"default",1980
35,"San Giovanni",41.8852287624971,12.5100132796361,"default",1980
36,"Manzoni",41.8904196399589,12.5067306827316,"default",1980
37,"Vittorio Emanuele",41.8948601122518,12.5045115180557,"default",1980
38,"Termini",41.90129756309,12.5008972639565,"default",1980
39,"Repubblica",41.9027838984832,12.4958800164226,"default",1980
40,"Barberini",41.9036777060342,12.4884819475072,"default",1980
41,"Spagna",41.9067463656525,12.4842976204493,"default",1980
42,"Flaminio",41.9130607499176,12.4770906546321,"default",1980
