"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Площадь Восстания",59.9300047,30.3587704,"heavy_rail",1955
2,"Владимирская",59.9260673,30.3472866,"heavy_rail",1955
3,"Пушкинская",59.9214169,30.3327472,"heavy_rail",1956
4,"Чернышевская",59.9430789,30.3605451,"heavy_rail",1958
5,"Площадь Ленина",59.9571966,30.3551708,"heavy_rail",1958
6,"Выборгская",59.96938,30.3492819,"heavy_rail",1975
7,"Лесная",59.9865714,30.3455216,"heavy_rail",1975
8,"Площадь Мужества",60.001508,30.3672032,"heavy_rail",1975
9,"Политехническая",60.0099366,30.3742168,"heavy_rail",1975
10,"Академическая",60.0121972,30.3926811,"heavy_rail",1975
11,"Гражданский проспект",60.0332764,30.4166268,"heavy_rail",1978
12,"Девяткино",60.0502738,30.4425709,"heavy_rail",1978
13,"Технологический институт 1",59.9151857,30.3174801,"heavy_rail",1961
14,"Технологический институт 1",59.9152128,30.3172056,"heavy_rail",1955
15,"Балтийская",59.9077909,30.3026087,"heavy_rail",1955
16,"Кировский завод",59.8782685,30.2604079,"heavy_rail",1955
17,"Проспект Ветеранов",59.8420125,30.2520188,"heavy_rail",1977
18,"Ленинский проспект",59.8506448,30.268218,"heavy_rail",1977
19,"Нарвская",59.899732,30.273868,"heavy_rail",1955
20,"Автово",59.8664599,30.2608108,"heavy_rail",1955
21,"Да́чное",59.8549256316347,30.2700974673253,"heavy_rail",1966
22,"Московская",59.8513976,30.3221334,"heavy_rail",1969
23,"Парк Победы",59.8676089,30.3213632,"heavy_rail",1961
24,"Московские ворота",59.8926611,30.3178656,"heavy_rail",1961
25,"Фрунзенская",59.9052935,30.3177955,"heavy_rail",1961
26,"Звёздная",59.8328177,30.3514235,"heavy_rail",1972
27,"Электросила",59.8802786,30.3188996,"heavy_rail",1961
28,"Купчино",59.8296759,30.3754405,"heavy_rail",1972
29,"Международная",59.868654,30.3819625,"heavy_rail",2012
30,"Бухарестская",59.8823515,30.3704776,"heavy_rail",2012
31,"Обводный канал",59.9131443,30.3510416,"heavy_rail",2010
32,"Комендантский проспект",60.0103986,30.2567524,"heavy_rail",2005
33,"Звенигородская",59.9220089,30.332748,"heavy_rail",2008
34,"Садовая",59.9275958,30.3195495,"heavy_rail",1991
35,"Сенная площадь",59.9261352,30.3199134,"heavy_rail",1963
36,"Адмиралтейская",59.9362077,30.3139481,"heavy_rail",2011
37,"Волковская",59.8966186,30.3606365,"heavy_rail",2008
38,"Крестовский остров",59.9706746,30.2623223,"heavy_rail",1999
39,"Старая Деревня",59.9876856,30.2557638,"heavy_rail",1999
40,"Спортивная",59.9500989,30.2891949,"heavy_rail",1997
41,"Чкаловская",59.9593437,30.2926315,"heavy_rail",1997
42,"Невский проспект",59.9339817,30.3281934,"heavy_rail",1963
43,"Горьковская",59.9551252,30.3192785,"heavy_rail",1963
44,"Петроградская",59.9648929,30.3127204,"heavy_rail",1963
45,"Чёрная речка",59.9872249,30.3007391,"heavy_rail",1982
46,"Пионерская",60.0042832,30.2961949,"heavy_rail",1982
47,"Удельная",60.0179742,30.3180541,"heavy_rail",1982
48,"Озерки",60.0353277,30.3208594,"heavy_rail",1988
49,"Проспект Просвещения",60.049443,30.3327871,"heavy_rail",1988
50,"Парнас",60.066883,30.3340247,"heavy_rail",2006
51,"Маяковская",59.9306269,30.3577159,"heavy_rail",1967
52,"Василеостровская",59.9432602,30.2754246,"heavy_rail",1967
53,"Беговая",59.9872609,30.2022313,"heavy_rail",2018
54,"Зенит",59.9719559,30.2119509,"heavy_rail",2018
55,"Гостиный двор",59.9343126,30.3302368,"heavy_rail",1967
56,"Приморская",59.948797,30.2380167,"heavy_rail",1979
57,"Пролетарская",59.866365,30.4674468,"heavy_rail",1981
58,"Обухово",59.849768,30.4599465,"heavy_rail",1981
59,"Ломоносовская",59.8788561,30.4403201,"heavy_rail",1970
60,"Елизаровская",59.8981054,30.4218376,"heavy_rail",1970
61,"Площадь Александра Невского 1",59.9233834,30.386918,"heavy_rail",1967
62,"Рыбацкое",59.8308599,30.5003202,"heavy_rail",1984
63,"Спасская",59.9263304,30.3178555,"heavy_rail",2009
64,"Новочеркасская",59.929641,30.4151752,"heavy_rail",1985
65,"Улица Дыбенко",59.9090475,30.481888,"heavy_rail",1987
66,"Проспект Большевиков",59.921077,30.4641024,"heavy_rail",1985
67,"Ладожская",59.931565,30.4424603,"heavy_rail",1985
68,"Площадь Александра Невского 2",59.922271,30.3848523,"heavy_rail",1985
69,"Лиговский проспект",59.9216378,30.3593559,"heavy_rail",1991
70,"Достоевская",59.9269321,30.345849,"heavy_rail",1991
71,"Шушары",59.820079,30.4328615,"heavy_rail",2019
72,"Дунайская",59.8399976,30.4109131,"heavy_rail",2019
73,"Проспект Славы",59.8567294,30.3955198,"heavy_rail",2019
74,"Театральная",59.9263896981887,30.2959737544193,"heavy_rail",2029
75,"Горный институт",59.9324850881746,30.2611680800599,"heavy_rail",2024
76,"Путиловская",59.8782035194733,30.2635403884411,"heavy_rail",2025
77,"Казаковская",59.8596403065404,30.2311844210636,"heavy_rail",2025
