"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Wellington Station",-41.2788327924993,174.780549329981,"heavy_rail",1937
2,"Crofton Downs Station",-41.2553696816467,174.766301459443,"heavy_rail",1963
3,"Ngaio Station",-41.2510354286256,174.771816736598,"heavy_rail",1885
4,"Awarua Street",-41.2465444316521,174.774181060169,"heavy_rail",1938
5,"Simla Crescent",-41.2467993481178,174.784282871505,"heavy_rail",1938
6,"Khandallah Station",-41.2428898378109,174.793242593342,,1885
7,"Raroa Station",-41.2323081752082,174.801784499128,"heavy_rail",1940
8,"Johnsonville Station",-41.2233589121583,174.804830126999,"heavy_rail",1885
9,"Takapu Road",-41.1852954185192,174.828321336162,"heavy_rail",1937
10,"Redwood ",-41.1763988776558,174.826918240293,"heavy_rail",1963
11,"Tawa",-41.1692616292164,174.828304523896,"heavy_rail",1885
12,"Linden",-41.1590548587833,174.831894830295,"heavy_rail",1940
13,"Kenepuru",-41.1497901969561,174.838115235088,"heavy_rail",1963
14,"Porirua",-41.1374991613381,174.843335370472,"heavy_rail",1885
15,"Paremata ",-41.1063838969585,174.866128727874,"heavy_rail",1885
16,"Mana ",-41.0953682513683,174.868251189169,"heavy_rail",1949
17,"Plimmerton",-41.0838930801184,174.86715470651,"heavy_rail",1881
18,"Pukerua Bay",-41.0380547137455,174.886591907603,"heavy_rail",1885
19,"Paekakariki ",-40.9871383348034,174.954215148398,"heavy_rail",1886
20,"Paraparaumu",-40.9165815830874,175.007168050899,,1886
21,"Waikanae",-40.8766438294296,175.066210563932,"heavy_rail",1882
22,"Petone",-41.2220116970712,174.86956163948,"heavy_rail",1874
23,"Western Hutt",-41.211985680339,174.889957855752,"heavy_rail",1874
24,"Melling",-41.2035818696627,174.905392725364,"heavy_rail",1908
25,"Ngauranga",-41.2486967984768,174.813576678966,"heavy_rail",
