"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"El Salto",-33.0414929,-71.5209919,,0
2,"El Salto",-33.0414651,-71.5209662,"commuter_rail|heavy_rail",1987
3,"Francia",-33.043871,-71.6130931,"heavy_rail",2005
4,"Puerto",-33.0391564,-71.6262935,"heavy_rail",2005
5,"Bellavista",-33.0431164,-71.620422,"commuter_rail|heavy_rail",1987
6,"Barón",-33.0421554,-71.6055958,"commuter_rail|heavy_rail",1987
7,"Recreo",-33.0271118,-71.5752462,"heavy_rail",2005
8,"Portales",-33.0327931,-71.5917702,"commuter_rail|heavy_rail",1987
9,"Chorrillos",-33.0333718,-71.5328848,"commuter_rail|heavy_rail",1987
10,"Hospital",-33.0285637,-71.5429522,"heavy_rail",2005
11,"Viña del Mar",-33.0263932,-71.5518603,"commuter_rail|heavy_rail",1987
12,"Miramar",-33.0249175,-71.5615196,"commuter_rail|heavy_rail",1987
13,"Quilpué",-33.0453043,-71.4450335,"commuter_rail|heavy_rail",1987
14,"El Sol",-33.0396737,-71.4285461,"commuter_rail|heavy_rail",1987
15,"El Belloto",-33.0431167936999,-71.4067651469878,"commuter_rail|heavy_rail",1987
16,"Las Américas",-33.0440019,-71.3951792,"commuter_rail|heavy_rail",1989
17,"La Concepción",-33.0417023,-71.3824016,"commuter_rail|heavy_rail",1995
18,"Villa Alemana",-33.0425047,-71.3732253,"commuter_rail|heavy_rail",1987
19,"Sargento Aldea",-33.0420725,-71.3662973,"commuter_rail|heavy_rail",1989
20,"Peñablanca",-33.0401612,-71.3528633,"commuter_rail|heavy_rail",1987
21,"Limache",-32.9847029,-71.2783967,"commuter_rail|heavy_rail",1987
22,"Plaza Aduana",-33.0337866412378,-71.6300823053141,"people_mover",1892
23,"Paseo 21 de Mayo",-33.032431635693,-71.6304612317268,"people_mover",1892
24,"Almirante Muñoz",-33.0378179244481,-71.6302627241907,"people_mover",1894
25,"Castillo",-33.0379952475363,-71.6306040477343,"people_mover",1894
26,"Plaza de la Justicia",-33.0396116860238,-71.629406982288,"people_mover",1901
27,"Paseo Yugoslavo",-33.0401723640009,-71.6291919997987,"people_mover",1901
28,"Prat",-33.0409618840619,-71.6260866971371,"people_mover",1883
29,"Paseo Gervasioni",-33.0413280359048,-71.6263494535177,"people_mover",1883
30,"Elías",-33.0439982434708,-71.6263834108389,"people_mover",1903
31,"Paseo Dimalow",-33.0438319897443,-71.6266258186008,"people_mover",1903
32,"Gaspar Marín",-33.0500180563792,-71.6172890570032,"people_mover",1906
33,"Paseo Barbosa",-33.051212638288,-71.6181983204239,"people_mover",1906
34,"Carrera",-33.0495804175328,-71.6195919416543,"people_mover",1907
35,"Marconi",-33.050301826354,-71.6204783021729,"people_mover",1906
36,"Eusebio Lillo",-33.0447548994267,-71.6034444190412,"people_mover",1908
37,"Lecheros",-33.0442656535681,-71.6030130230296,"people_mover",1908
38,"Diego Portales",-33.0430292933626,-71.6036615348598,"people_mover",1906
