"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"TMC Transit Center",29.7046196,-95.4029478,"light_rail",2004
2,"UH-Downtown",29.7661691,-95.3586365,"light_rail",2004
3,"Museum District",29.7245984,-95.3879756,"light_rail",2004
4,"Wheeler",29.7330403,-95.3832951,"light_rail",2004
5,"Ensemble/HCC",29.7396216,-95.3786187,"light_rail",2004
6,"McGowen",29.7460228,-95.373557,"light_rail",2004
7,"Downtown Transit Center",29.7508248,-95.3697568,"light_rail",2004
8,"Bell",29.7538165,-95.3673883,"light_rail",2004
9,"Main Street Square",29.7575648,-95.3644195,"light_rail",2004
10,"Central Station Main",29.759002,-95.3632773,"light_rail",2004
11,"Preston",29.7621264,-95.3608061,"light_rail",2004
12,"Dryden/TMC",29.7103744,-95.4003308,"light_rail",2004
13,"Memorial Hermann Hospital/Houston Zoo",29.7144167,-95.3971331,"light_rail",2004
14,"Hermann Park/Rice U",29.7202568,-95.3933628,"light_rail",2004
15,"Museum District",29.7245412,-95.389263,"light_rail",2004
16,"Smith Lands",29.69679,-95.4048388,"light_rail",2004
17,"Stadium Park/Astrodome",29.6861991,-95.4033392,"light_rail",2004
18,"Fannin South",29.6732934,-95.4027687,"light_rail",2004
19,"Burnett Transit Center",29.7721209,-95.3593555,"light_rail",2013
20,"Melbourne/North Lindale",29.8160912,-95.3706065,"light_rail",2013
21,"Lindale Park",29.8084541,-95.3694661,"light_rail",2013
22,"Cavalcade",29.8029973,-95.3681792,"light_rail",2013
23,"Moody Park",29.7956237,-95.3660662,"light_rail",2013
24,"Fulton/North Central",29.7857079,-95.3606948,"light_rail",2013
25,"Quitman/Near Northside",29.781554,-95.3642166,"light_rail",2013
26,"Northline Transit Center/HCC",29.8327512,-95.3759495,"light_rail",2013
27,"EaDo/Stadium",29.7533298,-95.3516957,"light_rail",2015
28,"Theater District",29.7606356,-95.3674514,"light_rail",2015
29,"Theater District",29.7611278,-95.3664464,"light_rail",2015
30,"Central Station Capitol",29.7585499,-95.3621956,"light_rail",2015
31,"Central Station Rusk",29.7575093,-95.3622746,"light_rail",2015
32,"Convention District",29.7546147,-95.3574839,"light_rail",2015
33,"Convention District",29.7551527,-95.3565515,"light_rail",2015
34,"UH South/University Oaks",29.7159951,-95.340857,"light_rail",2015
35,"Leeland/Third Ward",29.7385343,-95.3461197,"light_rail",2015
36,"TSU/UH Athletics District",29.7217916,-95.3515685,"light_rail",2015
37,"Elgin/Third Ward",29.7280985,-95.349944,"light_rail",2015
38,"Palm Center Transit Center",29.6963556,-95.332049,"light_rail",2015
39,"MacGregor Park/Martin Luther King, Jr.",29.709154,-95.3364133,"light_rail",2015
40,"Coffee Plant/Second Ward",29.7473306,-95.339832,"light_rail",2015
41,"Lockwood/Eastwood",29.7435074,-95.3289841,"light_rail",2015
42,"Altic/Howard Hughes",29.7410159,-95.3198229,"light_rail",2015
43,"Cesar Chavez/67th Street",29.737245,-95.3073643,"light_rail",2017
44,"Magnolia Park Transit Center",29.735766,-95.3026411,"light_rail",2017
