"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Kauffman Center",39.0941912,-94.5835345,"tram",2016
2,"North Loop",39.1051412,-94.5831247,"tram",2016
3,"Library",39.1029222,-94.5831407,"tram",2016
4,"River Market West",39.1087955,-94.5843845,"tram",2016
5,"City Market",39.1085087,-94.581894,"tram",2016
6,"Crossroads",39.0901009,-94.5837436,"tram",2016
7,"Power and Light",39.0966845,-94.5833865,"tram",2016
8,"Metro Center",39.0996112,-94.5832673,"tram",2016
9,"River Market North",39.1102479,-94.5816185,"tram",2016
10,"Union Station",39.0849406266886,-94.5841511372409,"tram",2016
