"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Caseros",-34.6358418393779,-58.3989075634122,"heavy_rail",2007
2,"Inclán - Mezquita Al Ahmad",-34.6293752442746,-58.4009548047827,"heavy_rail",2007
3,"Humberto 1º",-34.6230956071081,-58.4023025149597,"heavy_rail",2007
4,"Venezuela",-34.6152434591369,-58.4047236477971,"heavy_rail",2007
5,"Once - 30 de Diciembre",-34.6089479261672,-58.4060287910671,"heavy_rail",2007
6,"9 de Julio",-34.6042452037712,-58.3805743445213,"heavy_rail",1937
7,"Facultad de Medicina",-34.599765808744,-58.3977474636334,"heavy_rail",1938
8,"Tribunales - Teatro Colón",-34.6015583257659,-58.3852109950914,"heavy_rail",1937
9,"Agüero",-34.5916582453228,-58.4071215157808,"heavy_rail",1938
10,"Scalabrini Ortiz",-34.5851602586019,-58.4159294185265,"heavy_rail",1938
11,"Plaza Italia",-34.5814849944582,-58.4212593936064,"heavy_rail",1938
12,"Palermo",-34.5783453942574,-58.4258362590347,"heavy_rail",1940
13,"Retiro",-34.5912513575864,-58.3740565523433,"heavy_rail",1936
14,"Lavalle",-34.601769923798,-58.3781557831942,"heavy_rail",1936
15,"Diagonal Norte",-34.604848665387,-58.3795309667425,"heavy_rail",1934
16,"Avenida de Mayo",-34.6089792697014,-58.3806457406757,"heavy_rail",1934
17,"Moreno",-34.612568109822,-58.3804926519794,"heavy_rail",1934
18,"Independencia",-34.6181221947598,-58.3802356562158,"heavy_rail",1934
19,"Constitución",-34.6276230497228,-58.3814456241783,"heavy_rail",1934
20,"Carlos Pellegrini",-34.6036834215129,-58.3809826294026,"heavy_rail",1931
21,"Uruguay",-34.604093553428,-58.3872961341576,"heavy_rail",1931
22,"Callao - Maestro Alfredo Bravo",-34.6044640362732,-58.3927812622604,"heavy_rail",1930
23,"Pasteur - AMIA",-34.6046429678427,-58.3994742577363,"heavy_rail",1930
24,"Pueyrredón",-34.6045878548497,-58.4053639713074,"heavy_rail",1930
25,"Carlos Gardel",-34.6040795184799,-58.4117626011356,"heavy_rail",1930
26,"Medrano - Almagro",-34.6031649022273,-58.4209624717517,"heavy_rail",1930
27,"Ángel Gallardo",-34.6021622306381,-58.4312738604315,"heavy_rail",1930
28,"Malabia - Osvaldo Pugliese",-34.5990030261253,-58.4397151920098,"heavy_rail",1930
29,"Dorrego",-34.5917726438988,-58.4474784161237,"heavy_rail",1930
30,"Perú",-34.6085590738884,-58.3742677265724,"heavy_rail",1913
31,"Piedras",-34.6088799006399,-58.3791305242236,"heavy_rail",1913
32,"Lima",-34.6091120861844,-58.3821141096187,"heavy_rail",1913
33,"Sáenz Peña",-34.609424212785,-58.38678661144,"heavy_rail",1913
34,"Congreso - Presidente Dr. Raúl Alfonsín",-34.6092392420684,-58.3926964861744,"heavy_rail",1913
35,"Pasco",-34.6095511367424,-58.3970597879912,"heavy_rail",1913
36,"Alberti",-34.6098453812595,-58.4013433110289,"heavy_rail",1913
37,"Plaza Miserere",-34.6097828573348,-58.4068662281523,"heavy_rail",1913
38,"Loria",-34.6108151293641,-58.415394272653,"heavy_rail",1914
39,"Castro Barros",-34.6117959824167,-58.4217706888503,"heavy_rail",1914
40,"Río de Janeiro",-34.6151738869713,-58.429307175292,"heavy_rail",1914
41,"Acoyte",-34.6182969518064,-58.4363990472199,"heavy_rail",1914
42,"Primera Junta",-34.6204611547621,-58.4412953041721,"heavy_rail",1914
43,"Bolívar",-34.6091509380448,-58.3735828358792,"heavy_rail",1966
44,"Belgrano",-34.6128683769473,-58.377580327072,"heavy_rail",1966
45,"Independencia",-34.6179438735077,-58.3814991312003,"heavy_rail",1966
46,"San José",-34.622337100242,-58.3851423357711,"heavy_rail",1944
47,"Entre Ríos - Rodolfo Walsh",-34.6227489752346,-58.3914915474224,"heavy_rail",1944
48,"Pichincha",-34.623132757199,-58.3971069857303,"heavy_rail",1944
49,"Jujuy",-34.6238741226448,-58.4029156765612,"heavy_rail",1944
50,"Urquiza",-34.6246602282242,-58.4094006262524,"heavy_rail",1944
51,"José María Moreno",-34.6280105130688,-58.4337845681895,"heavy_rail",1973
