"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"44th St",33.448216,-111.9884345,"light_rail",2008
2,"Center Pkwy",33.438338,-111.946979,"light_rail",2008
3,"Priest Dr",33.4423406,-111.9563381,"light_rail",2008
4,"50th St",33.4470664,-111.9756297,"light_rail",2019
5,"Dorsey Ln",33.4148026,-111.9173531,"light_rail",2008
6,"Smith-Martin",33.4148268,-111.9012512,"light_rail",2008
7,"Rural Rd / University Dr",33.4211149,-111.9272764,"light_rail",2008
8,"McClintock Dr",33.4147585,-111.9087192,"light_rail",2008
9,"Veterans Way / College",33.4263189,-111.9363506,"light_rail",2008
10,"Mill Ave",33.4275262,-111.9411537,"light_rail",2008
11,"Sycamore",33.4148941,-111.8713734,"light_rail",2008
12,"Price-101",33.4148553,-111.888569,"light_rail",2008
13,"Mesa Dr",33.4151001,-111.8226128,"light_rail",2015
14,"Country Club Dr",33.4151611,-111.8396844,"light_rail",2015
15,"Alma School Rd",33.4149689,-111.8562565,"light_rail",2015
16,"Center St",33.4151479,-111.8311134,"light_rail",2015
17,"Stapley Dr",33.4151513,-111.8066566,"light_rail",2019
18,"Gilbert Rd",33.4153682,-111.7910621,"light_rail",2019
19,"24th St",33.4471931,-112.0288282,"light_rail",2008
20,"12th St",33.4482219,-112.0576414,"light_rail",2008
21,"12th St",33.4472323,-112.0552026,"light_rail",2008
22,"3rd St",33.446301,-112.0688872,"light_rail",2008
23,"3rd St",33.4483166,-112.0710398,"light_rail",2008
24,"Washington St",33.4492389,-112.0739103,"light_rail",2008
25,"Jefferson St",33.4474133,-112.0752063,"light_rail",2008
26,"Van Buren St",33.4515753,-112.0750995,"light_rail",2008
27,"Van Buren St",33.4522663,-112.073944,"light_rail",2008
28,"38th St",33.4481438,-112.0003494,"light_rail",2008
29,"24th St",33.4482236,-112.0297424,"light_rail",2008
30,"Roosevelt St",33.4591637471889,-112.073988913436,"light_rail",2008
31,"Encanto Blvd",33.4740507,-112.0737693,"light_rail",2008
32,"Osborn Rd",33.4872442,-112.073765,"light_rail",2008
33,"McDowell Rd",33.4651125,-112.0737809,"light_rail",2008
34,"Thomas Rd",33.4816146,-112.073735,"light_rail",2008
35,"Indian School Rd",33.4961351,-112.073744,"light_rail",2008
36,"Campbell Ave",33.5017892,-112.0737476,"light_rail",2008
37,"Central Ave / Camelback Rd",33.5088496,-112.0757,"light_rail",2008
38,"7th Ave",33.5093508,-112.0837882,"light_rail",2008
39,"Camelback Rd / 19th Ave",33.5095775,-112.0992589,"light_rail",2008
40,"Montebello Ave",33.5209696,-112.0996775,"light_rail",2008
41,"Dunlap Ave / 19th Ave",33.5674076,-112.1013292,"light_rail",2016
42,"Glendale Ave",33.5379954,-112.0996352,"light_rail",2016
43,"Northern Ave",33.5525916,-112.099589,"light_rail",2016
44,"Metrocenter",33.5750602110067,-112.119736803934,"light_rail",2024
45,"Mountain Vew Rd / 24th Ave",33.572998238678,-112.112252574929,"light_rail",2024
46,"25th Ave",33.5675710840467,-112.111909141251,"light_rail",2024
47,"28418",33.4477483260409,-112.07388080959,"light_rail",2040
48,"28419",33.4482388329609,-112.074533959342,"light_rail",2024
49,"28420",33.4475349633507,-112.077729324554,"light_rail",2024
50,"28421",33.4470728236249,-112.074525438365,"light_rail",2024
51,"28422",33.4421849101382,-112.073834939777,"light_rail",2024
52,"28423",33.4421991306653,-112.075130127809,"light_rail",2024
53,"28424",33.4368337969036,-112.073790123315,"light_rail",2024
54,"28425",33.4174736169732,-112.073589656872,"light_rail",2024
55,"28426",33.4067101949603,-112.07333163886,"light_rail",2024
56,"28427",33.3995616782391,-112.073355052292,"light_rail",2024
57,"28428",33.3922231066227,-112.073320299432,"light_rail",2024
58,"28429",33.3781817998409,-112.073267886354,"light_rail",2024
