"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"GoRaleigh",35.7778304900698,-78.6382530831178,"brt",2025
2,"Blount OB",35.7795129575836,-78.6368490716602,"brt",2025
3,"Blount IB",35.7810763358158,-78.6354251684081,"brt",2025
4,"Swain IB",35.7808952094718,-78.62945306065,"brt",2025
5,"Swain OB",35.7800440387479,-78.6286072835364,"brt",2025
6,"Tarboro OB",35.7798666560327,-78.622565569528,"brt",2025
7,"Tarboro IB",35.7805788623118,-78.6227368661602,"brt",2025
8,"Raleigh",35.7798944739639,-78.6134775852538,"brt",2025
9,"Longview",35.7798845487579,-78.6026382542442,"brt",2025
10,"WakeMed",35.7865343628039,-78.5887547819161,"brt",2025
11,"Trawick",35.7975583599787,-78.5771600466366,"brt",2025
12,"Corporation",35.7989784703825,-78.5684232209731,"brt",2025
13,"New Hope IB",35.8003623711598,-78.5626769335784,"brt",2025
14,"New Hope OB",35.8006116710336,-78.5615857494327,"brt",2025
