"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Willow Lawn",37.5843691989059,-77.4967936217271,"brt",2018
2,"Staples Mill",37.5804749401902,-77.4920623226613,"brt",2018
3,"Scott's Addition",37.5652938701092,-77.4738876700342,"brt",2018
4,"Science Museum",37.5607385302664,-77.467218958161,"brt",2018
5,"Allison St.",37.5579309849791,-77.4625006042645,"brt",2018
6,"VCU & VUU",37.5529470315425,-77.4541902342635,"brt",2018
7,"Arts District",37.5462971364686,-77.443032313941,"brt",2018
8,"Convention Center",37.5437503234859,-77.438792993744,"brt",2018
9,"Government Center",37.5408219067924,-77.4338841509869,"brt",2018
10,"VCU Medical Center",37.5392590296221,-77.4312968676481,"brt",2018
11,"Main Street Station",37.5341225890236,-77.4295944267836,"brt",2018
12,"Shockoe Bottom",37.529462949307,-77.4219615339715,"brt",2018
13,"East Riverfront",37.5213168675421,-77.4161713282172,"brt",2018
14,"Rocketts Landing",37.5177428548951,-77.4151516954692,"brt",2018
