"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Hato Rey",18.4293299,-66.0602693,"heavy_rail",2004
2,"Sagrado Corazón",18.4362793,-66.0604581,"heavy_rail",2004
3,"Piñero",18.4108695,-66.0554314,"heavy_rail",2004
4,"Domenech",18.4152668,-66.0564091,"heavy_rail",2004
5,"Roosevelt",18.4232292,-66.0589433,"heavy_rail",2004
6,"Río Piedras",18.3991963,-66.0523058,"heavy_rail",2004
7,"Universidad",18.4053714,-66.0518209,"heavy_rail",2004
8,"Cupey",18.3908549,-66.0626974,"heavy_rail",2004
9,"San Francisco",18.3908411,-66.0827638,"heavy_rail",2004
10,"Centro Médico",18.3914441,-66.0745273,"heavy_rail",2004
11,"Las Lomas",18.3907977,-66.0939135,"heavy_rail",2004
12,"Martínez Nadal",18.391224,-66.1018658,"heavy_rail",2004
13,"Jardines",18.3940231,-66.1277329,"heavy_rail",2004
14,"Deportivo",18.3943214,-66.1495251,"heavy_rail",2004
15,"Torrimar",18.3918643,-66.1190462,"heavy_rail",2004
16,"Bayamón",18.4002714,-66.1537874,"heavy_rail",2004
