"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Whiting",27.9452289003408,-82.4567686709745,"tram",2010
2,"Dick Greco Plaza",27.9415674889066,-82.4548423840212,"tram",2002
3,"HSBC",27.9419240534624,-82.4519736694195,"tram",2002
4,"Centennial Park",27.9610084568481,-82.4372832960093,"tram",2002
5,"Centro Ybor",27.9610166683433,-82.4412717773602,"tram",2002
6,"Streetcar Society",27.9610330905551,-82.4432890613835,"tram",2002
7,"Cadrecha Plaza",27.9606471070717,-82.445469735897,"tram",2002
8,"Publix",27.9515875553384,-82.4454464088581,"tram",2002
9,"York Street",27.9481497897575,-82.4455307114547,"tram",2002
10,"Cumberland Avenue",27.9457493087339,-82.4456402144757,"tram",2002
11,"Amalie Arena",27.9434759031576,-82.4484939492336,"tram",2002
