"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"El Arenal",-36.7256383753977,-73.1165884895374,"default",1999
2,"Los Cóndores",-36.7566850817699,-73.0916626453512,"default",1999
3,"Universidad Técnica Federico Santa María",-36.7837591881455,-73.085609444448,"default",1999
4,"Concepción",-36.830105482375,-73.0611197269441,"default",1999
5,"Chiguayante",-36.9153762080015,-73.02886912166,"default",1999
6,"Lorenzo Arenas",-36.8082041352441,-73.071098251712,"default",2001
7,"Pedro Medina",-36.9257246967656,-73.021473581999,"default",2001
8,"Mánquimávida",-36.9385345316273,-73.0113855576693,"default",2001
9,"Valle del Sol",-36.9500437857373,-73.0127741200333,"default",2001
10,"Hualqui",-36.9807710564444,-72.9410488362842,"default",2001
11,"Mercado",-36.7118621251343,-73.1155913187396,"default",2005
12,"Hospital Las Higueras",-36.7394467942099,-73.1027381254878,"default",2005
13,"La Leonera",-36.9511486615258,-73.0131437796899,"default",2005
14,"Juan Pablo II",-36.8384366351814,-73.0978169679418,"default",2005
15,"Diagonal Biobio",-36.837364708938,-73.1182967013456,"default",2005
16,"Costa Mar",-36.8547588803647,-73.1329052028478,"default",2005
17,"Lomas Coloradas",-36.8830929283737,-73.1397212583176,"default",2005
18,"Alborada",-36.8461470257106,-73.1308007529058,"default",2014
19,"El Parque",-36.8686202177955,-73.1362657310426,"default",2017
20,"Cardenal Raúl Silva Henríquez",-36.8983232280595,-73.143314881904,"default",2016
21,"Hito Galvarino",-36.9544501518052,-73.1568580779769,"default",2016
22,"Los Canelos",-36.9804494374541,-73.1628242184266,"default",2016
23,"Huinca",-36.9882745637566,-73.1631587635481,"default",2016
24,"Cristo Redentor",-36.9981222592554,-73.1628592331074,"default",2016
25,"Laguna Quiñenco",-37.0125420161183,-73.1581637155604,"default",2016
26,"Coronel",-37.0246235072486,-73.1509135675137,"default",2016
27,"Bulnes",-36.8169590785209,-73.0462329967916,"brt",2005
28,"Univ. San Sebastián",-36.8150035761067,-73.0473984761343,"brt",2005
29,"Bandera",-36.812866935263,-73.0487874701132,"brt",2005
30,"Brasil",-36.8108834080583,-73.0500738792257,"brt",2005
31,"Juan de Dios Rivera",-36.8086896299691,-73.0515130022589,"brt",2005
32,"Manuel Gutiérrez",-36.8067969961591,-73.0527718583518,"brt",2005
33,"El Carmen",-36.8044302352694,-73.0543372601504,"brt",2005
34,"Autop. Gral Bonilla",-36.8013952744385,-73.0563785614401,"brt",2005
35,"Las Heras",-36.8190506321372,-73.0449160669958,"brt",2005
36,"La Camelia / Los Geranios",-36.7607321739098,-73.0889874642103,"brt",2014
37,"Las Petunias",-36.7590872152573,-73.0899367117823,"brt",2014
38,"Los Cóndores",-36.7564627056367,-73.091400720171,"brt",2014
39,"Villa El Sauce",-36.7503036486341,-73.0933186894467,"brt",2014
40,"Almirante Nef",-36.7475296147738,-73.0945876246637,"brt",2014
41,"Desiderio García",-36.7437696506567,-73.0973654867912,"brt",2014
42,"Ercilla / Manuel Montt",-36.7416201735362,-73.0985301423696,"brt",2014
43,"Zenteno / Buzo Sobenes",-36.7388574047902,-73.1006433168631,"brt",2014
44,"Bernardita / Itata",-36.736668577155,-73.103227247547,"brt",2014
45,"Lircay",-36.7348556019283,-73.1055974559691,"brt",2014
46,"Hualpén",-36.7318810650386,-73.1086753795267,"brt",2014
47,"1 Sur",-36.9157576477656,-73.0290155562989,"brt",2005
48,"Guacolda / Quintanilla",-36.9197930860791,-73.0274277607002,"brt",2005
49,"San Ignacio / Los Carrera",-36.9230167170424,-73.0263384585271,"brt",2005
50,"Las Condes / Los Cipreses",-36.9257537025397,-73.0251493284082,"brt",2005
51,"Corbeta Chacabuco / Santo Domingo",-36.9283389973418,-73.0240353353196,"brt",2005
52,"Pinares",-36.9315975204087,-73.0226318931238,"brt",2005
53,"Libertad / Calle Nueva",-36.9335027908567,-73.021778300114,"brt",2005
54,"Amanda Labarca / Carriel",-36.9370543724651,-73.0202394360211,"brt",2005
55,"Central / Independencia",-36.9388618616086,-73.0194736020377,"brt",2005
56,"Santa María / Los Aromos",-36.9424016443783,-73.0178913602526,"brt",2005
57,"Esperanza",-36.9459990038243,-73.0163163433356,"brt",2005
58,"Porvenir",-36.9477831847923,-73.0155794088348,"brt",2005
59,"Dinamarca / Los Pinos",-36.9509876769783,-73.0142139124019,"brt",2005
60,"Francia / España",-36.9547174207405,-73.0133758301175,"brt",2005
61,"Pasaje 4 / 9 de Abril",-36.9567323300513,-73.0128989901255,"brt",2004
62,"Diagonal Biobío / Pje. 90",-36.8375669664259,-73.1184683210549,"brt",2005
63,"Av. Los Claveles",-36.8377245093137,-73.1141127700219,"brt",2005
64,"Av. San Pedro",-36.8381719491991,-73.1070089692321,"brt",2005
65,"Versluys",-36.8386938258677,-73.0967596045545,"brt",2005
66,"Talcahuano (Puerto)",-36.7085586060468,-73.1143724808132,,
