"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Zinzendorgasse",47.0750051164847,15.4461812067754,"default",1898
2,"Halbärthgasse",47.0761323173846,15.4503208215609,"default",1898
3,"Geidorfgürtel",47.0776176808164,15.4527204105741,"default",1900
4,"Hartenaugasse",47.0790802344806,15.45489024572,"default",1898
5,"Lenaugasse",47.0807546074608,15.4566542631156,"default",1898
6,"Hilmteich",47.0838573818699,15.4598318131437,"default",1898
7,"Hilmteich Linienamt",47.0863694150253,15.4605692804257,"default",1898
8,"Königsmühlstraße",47.0881011480238,15.4602986970956,"default",1916
9,"Mariagrün",47.08942050561,15.4600343416051,"default",1898
10,"Krafft-Ebing-Straße",47.0912766274785,15.4629587508883,"default",1916
11,"Kroisbach",47.0936768136544,15.4649782692906,"default",1898
12,"St. Johann",47.0965276312117,15.4695231632309,"default",1898
13,"Rettenbach",47.0990594752104,15.476278541935,"default",1898
14,"Teichhof",47.1015393047725,15.4844460886064,"default",1898
15,"Mariatrost",47.1051249651547,15.4888158956548,"default",1898
16,"Hauptbahnhof",47.0718457844207,15.4185612100613,"default",1911
17,"Roseggerhaus",47.0710906531062,15.4287509203309,"default",1911
18,"Südtiroler Platz",47.0709069175403,15.434146099829,"default",1911
19,"Hauptplatz",47.0712984729205,15.4381851456254,"default",1911
20,"Jakominiplatz",47.0674801443482,15.4422777731688,"default",1911
21,"Kaiser-Josef-Platz/Oper",47.0687505357351,15.4461838273213,"default",1911
22,"Rechbauerstraße",47.0708371482278,15.4480370924041,"default",1911
23,"Lichtenfelsgasse",47.0721870887069,15.4510178149933,"default",1911
24,"Merangasse",47.0734095956549,15.4540987377181,"default",1911
25,"Reiterkaserne",47.0752298603359,15.4584104159283,"default",1911
26,"Tegetthoffplatz",47.076656607835,15.4578916110556,"default",1911
27,"Lenaugasse",47.0792308460539,15.4581766256636,"default",1911
28,"Hilmteich",47.0834460760717,15.4599467461173,"default",1911
29,"Eggenberger Gürtel",47.0713852106101,15.4198789501607,"default",1911
30,"Blindeninstitut",47.0782610379224,15.4641302553954,"default",1919
31,"St. Leonhard/LKH",47.0791431115012,15.4678651366013,"default",1919
32,"Tegetthoffplatz",47.0766555674561,15.4578801780369,"default",1933
33,"Lenaugasse",47.0792340878821,15.458174387026,"default",1933
34,"Hilmteich",47.0834416665534,15.459948015627,"default",1933
35,"Esperantoplatz",47.0712714726662,15.4246710600091,"default",1911
36,"Dietrichsteinplatz",47.0665303369743,15.4468391025599,"default",1935
37,"Mandellstraße",47.0674587951746,15.4501974378867,"default",1935
38,"Rechbauerstraße",47.068777667329,15.4526717657767,"default",1935
39,"Schillerstraße",47.0702577480291,15.4557535323274,"default",1935
40,"Schillerplatz",47.0691796922651,15.4589295485539,"default",1935
41,"Krenngasse",47.0681638025752,15.4600457011804,"default",1935
42,"Kaiser-Josef-Platz/Oper",47.068752429665,15.4461811354301,"default",1938
43,"Rechbauerstraße",47.0708379870543,15.4480380973085,"default",1938
44,"Maiffredygasse",47.0708379870543,15.4480380973085,"default",1990
45,"Lichtenfelsgasse",47.0721900289646,15.4510092014751,"default",1938
46,"Merangasse",47.0734128030985,15.4540954338365,"default",1938
47,"Reiterkaserne",47.0752291745121,15.4584059168494,"default",1938
48,"Tegetthoffplatz",47.0766625435309,15.4578919635517,"default",1938
49,"Lenaugasse",47.0791928641131,15.4581245332027,"default",1938
50,"Hilmteich",47.0834379242864,15.4599571137109,"default",1938
51,"Schönbrunngasse",47.0863615948717,15.4605710151696,"default",1941
52,"Mariagrün",47.0894176111241,15.46004326193,"default",1941
53,"Kroisbach",47.0936734646364,15.4649773226802,"default",1941
54,"St. Johann",47.096531339919,15.4695236189783,"default",1941
55,"Roseggerweg",47.0982744500062,15.4739828212506,"default",1941
56,"Rettenbach",47.0990570522715,15.476273388102,"default",1941
57,"Rettenbach",47.0982685211629,15.4739828212506,"default",1990
58,"Wagnesweg",47.0990570522715,15.4762820974734,"default",1990
59,"Waldhof",47.0997271292008,15.4786557436538,"default",1941
60,"Teichhof",47.10153128918,15.484454649553,"default",1941
61,"Tannhof",47.1030963865604,15.4876422827545,"default",1989
62,"Mariatrost",47.105129758632,15.4888093396304,"default",1941
63,"Waagner-Biro-Straße",47.0707305011985,15.4148693287758,"default",1957
64,"Hauptbahnhof",47.0718463881613,15.41855764195,"default",2012
65,"Asperngasse",47.0725735238338,15.4124133394087,"default",2015
66,"Georgigasse",47.072958110748,15.4079955387121,"default",2006
67,"Laudongasse",47.0729610429071,15.4079942018875,"default",1957
68,"Alte Poststraße",47.0700788131616,15.4096217243924,"default",1957
69,"Eggenberg",47.0770212938995,15.3931217986876,"default",1957
70,"Schloßstraße",47.0750296188457,15.3969610665023,"default",1957
71,"Schloß Eggenberg",47.075031467865,15.3969715665836,"default",1990
72,"Janzgasse/Eggenberger Bad",47.0731588632075,15.4011085418912,"default",1957
73,"Auster Sport- und Wellnessbad",47.0731554782181,15.4011033104954,"default",2011
74,"Georgiplatz",47.072966324206,15.4046906945933,"default",1957
75,"Vinzenzgasse",47.0729718111795,15.4046987510377,"default",1963
76,"Eggenberg/UKH",47.0790128303912,15.3967214758516,"default",1990
77,"Alt-Eggenberg",47.0776741425985,15.3937969837571,"default",1990
