"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Grenoble - Gares",45.1901535,5.7150515,"default",1987
2,"Hubert Dubedout - Maison du tourisme",45.1901756,5.7282758,"default",1987
3,"Alsace - Lorraine",45.1894027,5.720335,"default",1987
4,"Alsace - Lorraine",45.1893767,5.7203275,"default",1987
5,"Victor Hugo",45.1898164,5.7251056,"default",1987
6,"Victor Hugo",45.1898405,5.7250858,"default",1987
7,"Hubert Dubedout - Maison du tourisme",45.1901482,5.7282686,"default",1987
8,"Verdun-Préfecture",45.1882626,5.7315163,"default",1987
9,"Île Verte",45.197252,5.7367666,"default",1990
10,"Notre-Dame - Musée",45.1936545,5.7321954,"default",1990
11,"Notre-Dame - Musée",45.1935654,5.7321547,"default",1990
12,"Sainte-Claire - Les Halles",45.1913491,5.7306694,"default",1990
13,"Île Verte",45.1972676,5.7367394,"default",1990
14,"Sainte-Claire - Les Halles",45.1913645,5.7306379,,0
15,"Verdun-Préfecture",45.1882482,5.7314841,"default",1987
16,"Chavant",45.1845327,5.7317282,"default",1987
17,"Chavant",45.1845351,5.7316866,"default",1987
18,"La Bruyère",45.1662743,5.731189,"default",1987
19,"Mounier",45.1789337,5.7318343,"default",1987
20,"MC2 - Maison de la Culture",45.1734925,5.7320207,"default",1987
21,"Malherbe",45.1694654,5.732218,"default",1987
22,"MC2 - Maison de la Culture",45.1734916,5.7319903,"default",1987
23,"Mounier",45.1789348,5.731798,"default",1987
24,"Albert 1er de Belgique",45.1816377,5.7317202,"default",1987
25,"La Bruyère",45.166297,5.731166,"default",1987
26,"Arlequin",45.1634652,5.7305119,"default",1987
27,"Arlequin",45.1634677,5.7305461,"default",1987
28,"Albert 1er de Belgique",45.1816369,5.7317569,"default",1987
29,"Malherbe",45.1694661,5.7322435,"default",1987
30,"Grand'Place",45.1590543,5.7321696,"default",1987
31,"Grand'Place",45.1590846,5.7321703,"default",1987
32,"Essarts - La Butte",45.1559416,5.7192191,"default",1996
33,"Les Granges",45.1569295,5.7278277,"default",1996
34,"Pôle Sud - Alpexpo",45.1571768,5.7328343,"default",1987
35,"Surieux",45.1583285,5.7220731,"default",1996
36,"Les Granges",45.1569572,5.7278272,"default",1996
37,"Surieux",45.1583488,5.7220916,"default",1996
38,"Pôle Sud - Alpexpo",45.1572088,5.7328331,"default",1987
39,"Essarts - La Butte",45.1559443,5.7191827,"default",1996
40,"Échirolles - Gare",45.153079,5.7184674,"default",1996
41,"Échirolles - Gare",45.1530848,5.7184269,"default",1996
42,"Auguste Delaune",45.1424083,5.7153742,"default",1996
43,"Denis Papin",45.1385151,5.7132065,"default",1997
44,"Marie Curie",45.1456253,5.7171104,"default",1996
45,"La Rampe - Centre-Ville",45.1487503,5.7179901,"default",1996
46,"Denis Papin",45.13839,5.7131113,"default",1997
47,"Marie Curie",45.1456294,5.7170817,"default",1996
48,"La Rampe - Centre-Ville",45.1487544,5.7179542,"default",1996
49,"Auguste Delaune",45.1424157,5.7153413,"default",1996
50,"Cité Internationale",45.1948871,5.7111904,"default",2001
51,"Palais de Justice – Gare",45.1911935,5.7117139,"default",1999
52,"Grenoble - Gares",45.189958,5.7152968,"default",1987
53,"Palais de Justice – Gare",45.1911726,5.7116839,"default",1999
54,"Cité Internationale",45.1948908,5.7111575,"default",2001
55,"Grenoble - Gares",45.190014,5.7151695,"default",1987
56,"CEA - Cambridge",45.2021494,5.7045072,"default",2014
57,"CEA - Cambridge",45.2027987,5.7037052,"default",2014
58,"Presqu'île",45.2059605,5.6995414,"default",2014
59,"Presqu'île",45.205984,5.699566,"default",2014
60,"Saint-Bruno",45.188377,5.7138428,"default",1987
61,"Saint-Bruno",45.1883507,5.7138404,"default",1987
62,"Berriat - Le Magasin",45.1888062,5.7066603,"default",1987
63,"Berriat - Le Magasin",45.1887695,5.7068612,"default",1987
64,"Charles Michels",45.1938623,5.6801918,"default",1987
65,"La Poya",45.1970717,5.6723467,"default",1987
66,"Louis Maisonnat",45.1892135,5.6942097,"default",1987
