"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Sangueta",38.351832,-0.4678768,"light_rail",2019
2,"MARQ-Castillo",38.3520020958493,-0.476240015513227,"light_rail",2007
3,"MARQ-Castillo",38.351996941982,-0.47624,"light_rail",2013
4,"Mercado",38.3481973306404,-0.484715134777339,"light_rail",2007
5,"Luceros",38.346022478574,-0.490613261096351,"light_rail",2010
6,"Porta del Mar",38.345082,-0.4788414,"light_rail",2019
7,"La Marina",38.3489846,-0.4729404,,
8,"La Marina",38.3487878,-0.473278,"light_rail",2019
9,"Porta del Mar",38.345079589676,-0.478839290832013,"light_rail",1999
10,"Estación Central",38.3446435999517,-0.495569934332167,"light_rail",
