"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Solanda",-0.265865089088541,-78.5353171846872,"heavy_rail",2020
2,"Valverde",-0.280907920284889,-78.5487593512581,"heavy_rail",2020
3,"Quitumbe",-0.29545251456156,-78.555065607319,"heavy_rail",2020
4,"Cardenal de la Torre",-0.257117061473011,-78.5332439422997,"heavy_rail",2020
5,"El Recreo",-0.254429221564166,-78.5223024733049,"heavy_rail",2020
6,"La Magdalena",-0.237975340187091,-78.5253713963721,"heavy_rail",2020
7,"San Francisco",-0.220596954554594,-78.5143211876768,"heavy_rail",2020
8,"La Alameda",-0.215144175762177,-78.5012019378612,"heavy_rail",2020
9,"El Ejido",-0.209971786081244,-78.4970184475887,"heavy_rail",2020
10,"Universidad Central",-0.198765895485963,-78.5004298124381,"heavy_rail",2020
11,"Pradera",-0.194112641565084,-78.4923313148363,"heavy_rail",2020
12,"La Carolina",-0.190375536073409,-78.485459147797,"heavy_rail",2020
13,"Iñaquito",-0.176735625040607,-78.4838535363693,"heavy_rail",2020
14,"Jipijapa",-0.164291807398271,-78.4835208508162,"heavy_rail",2020
15,"El Labrador",-0.153608243133539,-78.4862716585327,"heavy_rail",2020
