"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Bursaspor/Acemler",40.2130353,29.0150067,"heavy_rail",2002
2,"Karaman",40.2165902,29.0006422,"heavy_rail",2002
3,"İhsaniye",40.2230967,28.9939547,"heavy_rail",2002
4,"Bağlarbaşı/Esentepe",40.2291956,28.9865891,"heavy_rail",2002
5,"Beşevler",40.2130589,28.9661841,"heavy_rail",2002
6,"Fatih Sultan Mehmet",40.2115615,28.9755156,"heavy_rail",2002
7,"Nilüfer",40.2119143,28.9881375,"heavy_rail",2002
8,"Odunluk",40.2121021,28.9987865,"heavy_rail",2021
9,"Organize Sanayi",40.2434524,28.967047,"heavy_rail",2002
10,"Hamitler/Fethiye",40.2369919,28.9755806,"heavy_rail",2002
11,"Korupark",40.2506236,28.9573957,"heavy_rail",2011
12,"Emek",40.2570683,28.9526306,"heavy_rail",2011
13,"Ataevler",40.2126074,28.9498654,"heavy_rail",2002
14,"Küçük Sanayi",40.2120681,28.9415728,"heavy_rail",2002
15,"Altınşehir",40.214819,28.9341456,"heavy_rail",2010
16,"Altınşehir",40.2147931,28.9340152,,
17,"Özlüce",40.2199545,28.9113024,"heavy_rail",2010
18,"Ertuğrul",40.2194471,28.9219369,"heavy_rail",2010
19,"Yüzüncüyıl",40.2202729,28.8998636,"heavy_rail",2011
20,"Batıkent",40.220528,28.8911585,"heavy_rail",2011
21,"Üniversite",40.2181963,28.8700597,"heavy_rail",2011
22,"Kültürpark",40.2003551,29.0406854,"heavy_rail",2002
23,"Paşa Çiftliği",40.2095355,29.0252396,"heavy_rail",2002
24,"Sırameşeler",40.2053286,29.0297919,"heavy_rail",2002
25,"Merinos",40.1977233,29.0493867,"heavy_rail",2002
26,"Demirtaşpaşa",40.1873534,29.0688947,"heavy_rail",2008
27,"Şehreküstü",40.1884867,29.0629484,"heavy_rail",2002
28,"Osmangazi",40.1961054,29.0565172,"heavy_rail",2002
29,"Gökdere",40.1885896,29.0785736,"heavy_rail",2008
30,"152 Evler",40.1915842,29.1064511,"heavy_rail",2008
31,"Duaçınarı",40.1916142,29.099173,"heavy_rail",2008
32,"Yıldırım/Davutdede",40.1916721,29.0874489,"heavy_rail",2008
33,"Arabayatağı",40.1915899,29.1169118,"heavy_rail",2008
34,"Mimar Sinan - BTÜ",40.1916124,29.1322823,"heavy_rail",2014
35,"Hacivat",40.1922418,29.1416032,"heavy_rail",2014
36,"Şirinevler",40.1946271,29.1550171,"heavy_rail",2014
37,"Otosansit",40.1967666,29.1673798,"heavy_rail",2014
