"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Müze",36.8847483709929,30.6810360905099,"tram",2021
2,"Eğitim Araştırma Hastanesi",36.8906839877781,30.6761881273831,"tram",2021
3,"Meltem",36.8925251358276,30.6699658580171,"tram",2021
4,"Akdeniz Üniversitesi",36.893568218257,30.664817545152,"tram",2021
5,"Üniversite Hastanesi",36.8988072476453,30.6654911592418,"tram",2021
6,"Kültür",36.9080467374488,30.6632235561042,"tram",2021
7,"Yenidoğan",36.9151757325096,30.6657114869401,"tram",2021
8,"Batıgar",36.9211957690938,30.6680051134696,"tram",2021
9,"Sakarya",36.921099373193,30.6761195943946,"tram",2021
10,"Atatürk",36.919266874591,30.6831276630762,"tram",2021
11,"Zafer",36.9188356288125,30.6889569049565,"tram",2021
12,"Yıldırım Beyazıt",36.9186008442556,30.6949236690704,"tram",2021
13,"Erdem Beyazıt Kültür Merkezi",36.9186232410563,30.6998876093058,"tram",2021
14,"Şehitler Parkı",36.9189700471734,30.707648236665,"tram",2021
15,"Kepez Belediye",36.9177885681385,30.713863557014,"tram",2021
16,"Yeşilırmak",36.9219312382511,30.7145507422846,"tram",2021
17,"Gündoğdu",36.9277195150368,30.7132273347176,"tram",2021
18,"Sütçüler",36.9339585814656,30.7118186277694,"tram",2021
19,"Gazi",36.9399573693507,30.7104147475501,"tram",2021
20,"Kuzeyyaka",36.9441297680231,30.7092394767612,"tram",2021
21,"Fevzi Çakmak",36.9485332764478,30.7079910185471,"tram",2021
22,"Ulubatlı Hasan",36.954318091538,30.7083343299028,"tram",2021
23,"Süleyman Demirel",36.958128243735,30.709802698806,"tram",2021
24,"Şelale",36.9635984496509,30.712037499961,"tram",2021
25,"Karşıyaka",36.9693655034446,30.713883736146,"tram",2021
26,"Aydoğmuş",36.9752658494593,30.7141016988549,"tram",2021
27,"Aktoprak",36.980474684035,30.7147340220939,"tram",2021
28,"Kepezpark",36.9850167765445,30.7153326017085,"tram",2021
29,"Varsak",36.9889924323139,30.7163764573897,"tram",2021
30,"Havalimanı ✈️",36.9145713606529,30.8035697805254,"tram",2009
31,"Belediye",36.8808238,30.7083399,"tram",1999
32,"Üç Kapılar",36.8853103,30.7089193,"tram",1999
33,"Cumhuriyet Meydani",36.8867212,30.7026397,"tram",1999
34,"Kale Kapısı",36.8870038148078,30.7055038044658,"tram",1999
35,"Sigorta",36.8992270941517,30.6938363970278,"tram",2009
36,"Emniyet",36.9019477,30.6870353,"tram",2009
37,"Burhanettin Onat",36.8886806,30.7214991,"tram",2009
38,"Doğu Garajı",36.8888147,30.7123665,"tram",2009
39,"Ismetpaşa",36.888262548814,30.7069226959317,"tram",2009
40,"Muratpaşa",36.8925362662702,30.7027384359389,"tram",2009
41,"Şarampol",36.896335934874,30.698518511936,"tram",2009
42,"Meydan",36.8868407,30.7313825,"tram",2009
43,"Zerdalilik",36.8746722,30.7168428,"tram",1999
44,"Işıklar-1",36.8750711,30.7129683,"tram",1999
45,"Işıklar-2",36.8774076,30.7108764,"tram",1999
46,"Selekler",36.8855676874199,30.6977449574106,"tram",1999
47,"Müze",36.8846345493945,30.6811211475929,"tram",1999
48,"Barbaros",36.8847587011863,30.6862559407279,"tram",1999
49,"Meslek Lisesi",36.8849820474723,30.691177495435,"tram",1999
50,"Kültür",36.9079675,30.6632878,,
51,"Kültür",36.90797,30.6631545,,
52,"Üniversite Hastanesi",36.8987281,30.6655428,,
53,"Üniversite Hastanesi",36.8987277,30.6654352,,
54,"Akdeniz Üniversitesi",36.8936939,30.664947,,
55,"Akdeniz Üniversitesi",36.8937066,30.6648246,,
56,"Meltem",36.8926388,30.6699293,,
57,"Meltem",36.8925633,30.669925,,
58,"Yenidoğan",36.9153078,30.6657601,,
59,"Yenidoğan",36.915292,30.6658193,,
60,"Eğitim Araştırma Hastanesi",36.8907945,30.6762394,,
61,"Eğitim Araştırma Hastanesi",36.890766,30.6761253,,
62,"Altınova",36.9087155076396,30.7703387230703,"tram",2009
63,"Sinan",36.9197657,30.7867094,"tram",2009
64,"Yonca Kavşak",36.926,30.7975748,"tram",2009
65,"EXPO",36.9452651,30.8760847,"tram",2009
66,"Kurşunlu",36.9435467,30.8281273,"tram",2009
67,"Yenigöl",36.9155447,30.779392,"tram",2009
68,"Aksu",36.9479401,30.8457671,"tram",2009
69,"Pınarlı ANFAŞ",36.9364872545903,30.8159430819721,"tram",2009
70,"Kışla",36.8907857831738,30.7481674459619,"tram",2009
71,"Topçular",36.893224956471,30.7547181780558,"tram",2009
72,"Demokrasi",36.8959713519019,30.7592460585551,"tram",2009
73,"Cırnık",36.9028080292393,30.7655220125161,"tram",2009
74,"Fatih",36.9438049735413,30.6448100942028,"tram",2009
75,"Kepezaltı",36.9386994310622,30.652188430432,"tram",2009
76,"Ferrokrom",36.933087828388,30.6586639703636,"tram",2009
77,"Vakıf Çiftliği",36.92850038776,30.6638961763864,"tram",2009
78,"Otogar",36.9228074097469,30.6684420619549,"tram",2009
79,"Pil Fabrikası",36.9181728631052,30.6732683022876,"tram",2009
80,"Dokuma",36.9132499972667,30.6769980892608,"tram",2009
81,"Çallı",36.9069666056246,30.6818081122374,"tram",2009
