"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Huzurevi",37.0408754,35.2844171,"heavy_rail",2010
2,"Yurt",37.0269931,35.2964139,"heavy_rail",2010
3,"Yeşilyurt",37.0203337,35.3025097,"heavy_rail",2010
4,"Mavi Bulvar",37.0355736,35.2877857,"heavy_rail",2010
5,"Anadolu Lisesi",37.0477526,35.2800577,"heavy_rail",2010
6,"Hastane",37.0505319,35.2629884,"heavy_rail",2010
7,"Fatih",37.0122743,35.3043576,"heavy_rail",2010
8,"Vilayet",37.001947,35.3134597,"heavy_rail",2010
9,"İstiklal",36.9924513,35.3182274,"heavy_rail",2010
10,"Kocavezir",36.9847234,35.3194145,"heavy_rail",2010
11,"Akıncılar",36.9888144,35.3442179,"heavy_rail",2010
12,"Hürriyet",36.9789005,35.325842,"heavy_rail",2010
13,"Cumhuriyet",36.9809723,35.3375709,"heavy_rail",2010
