"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Uttara North",23.8696674946524,90.3676316951851,"heavy_rail",2022
2,"Uttara Center",23.8598138236775,90.365157160692,"heavy_rail",2022
3,"Uttara South",23.8458137093693,90.3631104142067,"heavy_rail",2022
4,"Pallabi",23.8261475034268,90.3642658887517,"heavy_rail",2023
5,"Mirpur 11",23.8192366776141,90.365274661364,"heavy_rail",2022
6,"Mirpur 10",23.8081320705954,90.3683276717467,"heavy_rail",2022
7,"Kazipara",23.7994960298717,90.3719019686034,"heavy_rail",2022
8,"Shewrapara",23.7909458546018,90.3755253213866,"heavy_rail",2022
9,"Agargaon",23.7784172864997,90.3801536254632,"heavy_rail",2022
10,"Bijoy Sarani",23.766335674931,90.3831345556353,"heavy_rail",2024
11,"Farmgate",23.7590271431499,90.386348120456,"heavy_rail",2023
12,"Kawran Bazar",23.7515382114644,90.3926636359827,"heavy_rail",2024
13,"Shahbagh",23.7395779552242,90.3960124844539,"heavy_rail",2024
14,"Dhaka University",23.7314220425823,90.3970182483948,"heavy_rail",2024
15,"Bangladesh Secretariat",23.7300107736015,90.4078667554529,"heavy_rail",2023
16,"Motijheel",23.7274299143169,90.420178475362,"heavy_rail",2023
17,"Kamalapur",23.7318601834573,90.42530226772,"heavy_rail",
