"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"灵昆",27.9565988,120.8879914,"heavy_rail",2019
2,"瓯华",27.9338212,120.930902,"heavy_rail",2019
3,"瓯江口",27.9438772,120.9157772,"heavy_rail",2019
4,"双瓯大道",27.9229872,120.9471909,"heavy_rail",2019
5,"奥体中心",27.9188745,120.8068644,"heavy_rail",2019
6,"机场",27.9091509,120.8426589,"heavy_rail",2019
7,"永中",27.911767,120.8239029,"heavy_rail",2019
8,"科技城",27.9579854,120.7801547,"heavy_rail",2019
9,"瑶溪",27.933799,120.7790005,"heavy_rail",2019
10,"龙腾路",27.961962,120.7586822,"heavy_rail",2019
11,"德政",27.979283,120.6460632,"heavy_rail",2019
12,"龙霞路",27.9825961,120.6653691,"heavy_rail",2019
13,"惠民路",27.9829294,120.692842,"heavy_rail",2019
14,"三垟湿地",27.976341,120.7098126,"heavy_rail",2019
15,"新桥",27.9808155,120.6236364,"heavy_rail",2019
16,"动车南站",27.9700929,120.5799185,"heavy_rail",2019
17,"潘桥",27.9442413,120.5699669,"heavy_rail",2019
18,"桐岭",27.9241464,120.5648092,"heavy_rail",2019
