"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Bernini",45.0760134,7.655793,"heavy_rail",2006
2,"Rivoli",45.0755394,7.6442201,"heavy_rail",2006
3,"Paradiso",45.0738513,7.6023968,"heavy_rail",2006
4,"XVIII Dicembre",45.0737719,7.668055,"heavy_rail",2006
5,"Porta Susa",45.0706476,7.6652976,"heavy_rail",2007
6,"Monte Grappa",45.0752393,7.6364023,"heavy_rail",2006
7,"Pozzo Strada",45.0749418,7.6291804,"heavy_rail",2006
8,"Massaua",45.0745688,7.62014,"heavy_rail",2006
9,"Marche",45.0743282,7.6147978,"heavy_rail",2006
10,"Racconigi",45.0757392,7.6490994,"heavy_rail",2006
11,"Fermi",45.0759955,7.591176,"heavy_rail",2006
12,"Principi D'Acaja",45.0763797,7.6646568,"heavy_rail",2006
13,"Porta Nuova",45.0627467,7.6789628,"heavy_rail",2007
14,"Dante",45.0469037,7.6728829,"heavy_rail",2011
15,"Spezia",45.0381379,7.6694758,"heavy_rail",2011
16,"Nizza",45.0514359,7.6746207,"heavy_rail",2011
17,"Marconi",45.0571422,7.6768522,"heavy_rail",2011
18,"Carducci-Molinette",45.0424484,7.6711553,"heavy_rail",2011
19,"Re Umberto",45.0644925,7.6741257,"heavy_rail",2007
20,"Vinzaglio",45.0672391,7.6664177,"heavy_rail",2007
21,"Lingotto",45.0314038,7.6668834,"heavy_rail",2011
22,"Bengasi",45.0169671,7.6613021,"heavy_rail",2021
23,"Italia '61 - Regione Piemonte",45.0246783,7.6642899,"heavy_rail",2021
